const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_tacticsMu,const_tacticsSigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,9924.717935260105,2946.6318024818943,0.0,0.0,0.0,0.0,38.71897797222421,15.976969827242442,0.0,0.0
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-1944900.2820647398,514358.0129708152,1.0,0.0,1954825.0,512391.58112814464,38.71897797222421,15.976969827242442,0.0,0.0
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-4431136.53206474,1154844.8830897612,1.0,0.0,4398356.25,1152881.0575383254,38.71897797222421,15.976969827242442,0.0,0.0
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-6874667.78206474,1795333.6128069065,1.0,0.0,1020116.9736842106,256195.79056407232,42743.19266218275,15.976969827245599,0.0,0.0
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-9360904.03206474,2435822.7352035223,1.0,0.0,3463648.2236842103,896685.2669742531,42743.19266218275,15.976969827245599,0.0,0.0
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-5897255.03206474,1539138.1895822359,1.0,0.0,42704.47368421052,5.1448789686149945E-12,85447.66634639326,15.976969827251159,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-8383491.282064741,2179627.2045936957,1.0,0.0,2486235.7236842103,640489.4764101807,85447.66634639326,15.976969827251159,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-1.0827022532064741E7,2820116.4291858147,1.0,0.0,4929766.97368421,1280978.9528203616,85447.66634639326,15.976969827251159,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-7363373.032064741,1923431.4296176939,1.0,0.0,1508823.2236842103,384293.68584610836,128152.1400306038,15.97696982725296,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-9849609.28206474,2563920.5922333305,1.0,0.0,3952354.4736842103,1024783.1622562893,128152.1400306038,15.97696982725296,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-6385959.53206474,1667236.0125102527,1.0,0.0,531410.7236842106,128097.89528203617,170856.6137148143,15.976969827258522,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-8872195.78206474,2307725.086485451,1.0,0.0,2974941.9736842103,768587.371692217,170856.6137148143,15.976969827258522,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-1.1315727032064741E7,2948214.335315846,1.0,0.0,5418473.22368421,1409076.8481023978,170856.6137148143,15.976969827258522,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-7852077.032064741,2051529.6657967928,1.0,0.0,1997529.4736842103,512391.5811281445,213561.08739902484,15.976969827269643,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-1.033831328206474E7,2692018.861870445,1.0,0.0,4441060.72368421,1152881.0575383254,213561.08739902484,15.976969827269643,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-6874664.03206474,1795334.414531921,1.0,0.0,1020116.9736842106,256195.79056407232,256265.56108323537,15.976969827280765,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-9360900.28206474,2435823.536853013,1.0,0.0,3463648.2236842103,896685.2669742531,256265.56108323537,15.976969827280765,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-5897251.03206474,1539138.572706769,1.0,0.0,42704.47368421052,5.1448789686149945E-12,298970.0347674459,15.976969827280765,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-8383487.282064741,2179627.587577354,1.0,0.0,2486235.7236842103,640489.4764101807,298970.0347674459,15.976969827280765,5907179.47368421,1537174.743384434
1.0,4.783611391703186,15.33426790193223,4.0,13.0,382107.6539333196,385990.35642894375,0.7856201661744834,0.4757397127604873,12.0,-1.0827018532064741E7,2820116.812092559,1.0,0.0,4929766.97368421,1280978.9528203616,298970.0347674459,15.976969827280765,5907179.47368421,1537174.743384434
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,7532.401010077765,4966.420338242752,0.0,0.0,0.0,0.0,50.85077203029731,27.832148952054528,0.0,0.0
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-3732034.098989922,2280763.544917834,1.0,0.0,3134901.0,2243534.059019163,50.85077203029731,27.832148952054528,0.0,0.0
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-7650660.348989922,5084743.309739571,1.0,0.0,7053527.25,5047951.632793116,50.85077203029731,27.832148952054528,0.0,0.0
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.2173952098989923E7,7922695.536446714,1.0,0.0,3739566.1666666665,2277326.291942148,604716.0174386969,70105.94893116665,0.0,0.0
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.6092578348989923E7,1.0726867474096892E7,1.0,0.0,7658192.416666666,5081279.79024603,604716.0174386969,70105.94893116665,0.0,0.0
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.2173951848989923E7,7922695.171071757,1.0,0.0,3739566.1666666665,2277326.291942148,1209381.1841053637,140213.3137653529,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.6092578098989923E7,1.0726867109649701E7,1.0,0.0,7658192.416666666,5081279.79024603,1209381.1841053637,140213.3137653529,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.2173951098989923E7,7922694.960345019,1.0,0.0,3739566.1666666665,2277326.291942148,1814046.3507720304,210320.68043631464,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.6092577348989923E7,1.0726866898188353E7,1.0,0.0,7658192.416666666,5081279.79024603,1814046.3507720304,210320.68043631464,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.2173951098989923E7,7922694.960345019,1.0,0.0,3739566.1666666665,2277326.291942148,2418711.517438697,280428.0475664633,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.6092577348989923E7,1.0726866898188353E7,1.0,0.0,7658192.416666666,5081279.79024603,2418711.517438697,280428.0475664633,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.2173951098989923E7,7922694.960345019,1.0,0.0,3739566.1666666665,2277326.291942148,3023376.6841053637,350535.4148802856,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.6092577348989923E7,1.0726866898188353E7,1.0,0.0,7658192.416666666,5081279.79024603,3023376.6841053637,350535.4148802856,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.2173951098989923E7,7922694.960345019,1.0,0.0,3739566.1666666665,2277326.291942148,3628041.85077203,420642.78228594444,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.6092577348989923E7,1.0726866898188353E7,1.0,0.0,7658192.416666666,5081279.79024603,3628041.85077203,420642.78228594444,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.2173950598989923E7,7922694.672294203,1.0,0.0,3739566.1666666665,2277326.291942148,4232707.017438697,490750.14974408114,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.6092576848989923E7,1.0726866610234108E7,1.0,0.0,7658192.416666666,5081279.79024603,4232707.017438697,490750.14974408114,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.2173950598989923E7,7922694.672294203,1.0,0.0,3739566.1666666665,2277326.291942148,4837372.184105363,560857.5172350163,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.6092576848989923E7,1.0726866610234108E7,1.0,0.0,7658192.416666666,5081279.79024603,4837372.184105363,560857.5172350163,8441917.666666666,5642125.846067528
4.0,18.454355778098474,18.319699715392098,4.0,9.0,796690.3962950252,789351.1206551899,0.27701129012373293,0.6260567043075176,10.0,-1.2173950348989923E7,7922694.306919253,1.0,0.0,3739566.1666666665,2277326.291942148,5442037.35077203,630964.8847478172,8441917.666666666,5642125.846067528
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,6102.104868393556,6705.508694328335,0.0,0.0,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-1698788.5617982731,1000075.6329537233,0.9999999999999999,1.1102230246251564E-16,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-3829901.8951316066,2246841.8614132516,0.9999999999999999,1.1102230246251564E-16,426222.66666666674,249355.35525942803,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-5961015.22846494,3493615.6183240768,0.9999999999999999,1.1102230246251564E-16,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-8092128.561798274,4740390.963499176,0.9999999999999999,1.1102230246251564E-16,426222.66666666674,249355.35525942803,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-1.0223241895131607E7,5987166.904712041,0.9999999999999999,1.1102230246251564E-16,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-1.235435522846494E7,7233943.133779906,0.9999999999999999,1.1102230246251564E-16,426222.66666666674,249355.35525942803,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-1.4485468561798273E7,8480719.52374747,0.9999999999999999,1.1102230246251564E-16,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-1.6616581895131607E7,9727496.012747029,0.9999999999999999,1.1102230246251564E-16,426222.66666666674,249355.35525942803,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-1.874769522846494E7,1.0974272567025796E7,0.9999999999999999,1.1102230246251564E-16,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-2.0878808561798275E7,1.2221049166604657E7,0.9999999999999999,1.1102230246251564E-16,426222.66666666674,249355.35525942803,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-2.3009921895131603E7,1.3467825798902715E7,0.9999999999999999,1.1102230246251564E-16,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-2.5141035228464935E7,1.4714602455603022E7,0.9999999999999999,1.1102230246251564E-16,426222.66666666674,249355.35525942803,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-2.7272148561798275E7,1.5961379130987247E7,0.9999999999999999,1.1102230246251564E-16,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-2.9403261895131607E7,1.720815582099429E7,0.9999999999999999,1.1102230246251564E-16,426222.66666666674,249355.35525942803,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-3.1534375228464935E7,1.8454932522660494E7,0.9999999999999999,1.1102230246251564E-16,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-3.3665488561798275E7,1.9701709233772386E7,0.9999999999999999,1.1102230246251564E-16,426222.66666666674,249355.35525942803,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-3.57966018951316E7,2.094848595264345E7,0.9999999999999999,1.1102230246251564E-16,0.0,0.0,78.29147864550274,85.28014467399096,0.0,0.0
16.0,12.022967434652308,11.456285163470811,6.0,15.0,150428.61546821985,406554.6450814857,0.39657766805671957,0.9465014831155949,2.0,-3.792771522846494E7,2.2195262677966114E7,0.9999999999999999,1.1102230246251564E-16,426222.66666666674,249355.35525942803,78.29147864550274,85.28014467399096,0.0,0.0
