const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_tacticsMu,const_tacticsSigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
8.0,16.71550389126712,0.6021151297236416,3.0,9.0,540187.3958196916,459158.8518175041,0.16203436160693074,0.3957367712759312,10.0,-1.2230460152322073E7,1.234467761033251E7,1.0,0.0,5795157.0,5847720.330219461,94.83660085471557,13.375873419692287,0.0,0.0
8.0,16.71550389126712,0.6021151297236416,3.0,9.0,540187.3958196916,459158.8518175041,0.16203436160693074,0.3957367712759312,10.0,-2.224890448565541E7,2.1357085465865124E7,1.0,0.0,8105461.166666667,9088047.006998902,4620703.169934188,6534540.1825106,7480290.833333333,1.0578728746995142E7
8.0,16.71550389126712,0.6021151297236416,3.0,9.0,540187.3958196916,459158.8518175041,0.16203436160693074,0.3957367712759312,10.0,-3.1718747152322076E7,2.22215388141465E7,1.0,0.0,8105461.166666667,9088047.006998902,9241311.503267523,1.3069067153924575E7,7480290.833333333,1.0578728746995142E7
8.0,16.71550389126712,0.6021151297236416,3.0,9.0,540187.3958196916,459158.8518175041,0.16203436160693074,0.3957367712759312,10.0,-3.7155577152322076E7,1.963020857359162E7,1.0,0.0,8105461.166666667,9088047.006998902,2.0793609003267523E7,1.778823798663767E7,1.5681056666666666E7,7818137.1252930015
8.0,16.71550389126712,0.6021151297236416,3.0,9.0,540187.3958196916,459158.8518175041,0.16203436160693074,0.3957367712759312,10.0,-4.535696548565541E7,1.6522714025864115E7,1.0,0.0,1.5037773666666666E7,7204136.648022734,4.113566966993419E7,1.948461261465092E7,1.7538507333333336E7,6497467.033577179
8.0,19.716646703661937,5.236028461205291,5.0,14.0,178502.536761104,577878.1702380554,0.687498010027817,0.11485738162857506,15.0,-7766342.673901811,4271041.116264175,1.0,0.0,1635437.6,897681.815809945,32.740683457301024,7.493336193283509,0.0,0.0
8.0,19.716646703661937,5.236028461205291,5.0,14.0,178502.536761104,577878.1702380554,0.687498010027817,0.11485738162857506,15.0,-1.8057928673901815E7,1.1859385468405684E7,1.0,0.0,5794132.6,5707253.4961960325,2114430.7406834573,4228794.883914769,0.0,0.0
8.0,19.716646703661937,5.236028461205291,5.0,14.0,178502.536761104,577878.1702380554,0.687498010027817,0.11485738162857506,15.0,-4.256773307390182E7,1.8787193961794015E7,1.0,0.0,2.41195948E7,9891949.481733846,2.0509993940683458E7,9648609.507346133,4177345.0,8354690.0
8.0,19.716646703661937,5.236028461205291,5.0,14.0,178502.536761104,577878.1702380554,0.687498010027817,0.11485738162857506,15.0,-4.0498231473901816E7,1.697488854375332E7,1.0,0.0,2.00945488E7,8463439.366865285,4.319790114068346E7,2.2418755805343337E7,2.439717424137931E7,9966370.641529065
8.0,19.716646703661937,5.236028461205291,5.0,14.0,178502.536761104,577878.1702380554,0.687498010027817,0.11485738162857506,15.0,-4.244800167390181E7,2.0333420612655E7,1.0,0.0,5794132.6,5707253.4961960325,4.531229914068346E7,2.5679834009099152E7,2.4592002200000003E7,1.0238671980806986E7
13.0,3.6551311524231633,19.321911140025875,3.0,7.0,855832.423017068,591294.2693928661,0.666402633321647,0.9766329215613758,19.0,-1.4041405882646143E9,1.9663522438683956E9,53.333333333333336,74.01050976419197,1.385667042E9,1.9596291237298093E9,171.17969369778922,55.400106958813694,0.0,0.0
13.0,3.6551311524231633,19.321911140025875,3.0,7.0,855832.423017068,591294.2693928661,0.666402633321647,0.9766329215613758,19.0,-2.9761934112646146E9,4.166232388645248E9,53.333333333333336,74.01050976419197,1.3946225066666663E7,1.588486788243923E7,1.2973946246360363E7,1.5528054625323348E7,0.0,0.0
13.0,3.6551311524231633,19.321911140025875,3.0,7.0,855832.423017068,591294.2693928661,0.666402633321647,0.9766329215613758,19.0,-4.465180311931281E9,6.262022664650548E9,53.333333333333336,74.01050976419197,9.190017739999999E7,1.2502535266963753E8,2.594772131302703E7,3.1056109962652314E7,8.306592139999999E7,1.0437381823480454E8
13.0,3.6551311524231633,19.321911140025875,3.0,7.0,855832.423017068,591294.2693928661,0.666402633321647,0.9766329215613758,19.0,-5.954167212597949E9,8.354904681821551E9,53.333333333333336,74.01050976419197,1.684819445833333E8,2.3230143898560965E8,3.754931122969368E7,4.465549536845518E7,8.306592139999999E7,1.0437381823480454E8
13.0,3.6551311524231633,19.321911140025875,3.0,7.0,855832.423017068,591294.2693928661,0.666402633321647,0.9766329215613758,19.0,-7.453845658931281E9,1.0465819761148767E10,53.333333333333336,74.01050976419197,2.4269337968333334E8,3.3622887192372143E8,4.540838391302702E7,5.300156447903686E7,8.239262720883535E7,1.0342427421530779E8
1.0,6.551562963083897,16.25450168190698,3.0,10.0,481682.0801371471,179717.30488194112,0.7952766127940202,0.09094775530377486,15.0,-1.0956386162057376E7,4638599.026535722,1.0,0.0,2306717.333333333,977763.0909094947,110.53618082043974,17.500354504421683,0.0,0.0
1.0,6.551562963083897,16.25450168190698,3.0,10.0,481682.0801371471,179717.30488194112,0.7952766127940202,0.09094775530377486,15.0,-2.878218282872404E7,9527413.622564215,1.0,0.0,8336218.166666666,2199966.954546363,3146214.702847487,17.500354504485585,0.0,0.0
1.0,6.551562963083897,16.25450168190698,3.0,10.0,481682.0801371471,179717.30488194112,0.7952766127940202,0.09094775530377486,15.0,-3.1665578495390706E7,1.0749616674240436E7,1.0,0.0,1.1219614833333332E7,3422170.8181832316,6292318.869514152,17.500354504909115,1.1796294166666664E7,3666611.5909106047
1.0,6.551562963083897,16.25450168190698,3.0,10.0,481682.0801371471,179717.30488194112,0.7952766127940202,0.09094775530377486,15.0,-2.1491437162057374E7,8305209.159414845,1.0,0.0,4191579.927783351,977763.0909094948,1.1323285630630836E7,17.500354504909115,1.1796294166666664E7,3666611.5909106047
1.0,6.551562963083897,16.25450168190698,3.0,10.0,481682.0801371471,179717.30488194112,0.7952766127940202,0.09094775530377486,15.0,-2.878217982872404E7,9527413.597378217,1.0,0.0,8336218.166666666,2199966.954546363,1.44693897972975E7,17.500354504909115,1.053505259445002E7,3666611.5909106066
16.0,14.302046852241983,15.772076795512495,4.0,9.0,277024.6167223869,249419.08649670955,0.4804448940493439,0.37723928944494434,14.0,-5318432.8159387065,4123521.7844465487,1.0,0.0,1401578.75,1085114.8748656465,70.42570514148106,27.400086179665138,0.0,0.0
16.0,14.302046852241983,15.772076795512495,4.0,9.0,277024.6167223869,249419.08649670955,0.4804448940493439,0.37723928944494434,14.0,-3.725978283159387E8,2.1200558577176526E8,1.0,0.0,3083473.25,2387252.724704422,70.42570514148106,27.400086179665138,0.0,0.0
16.0,14.302046852241983,15.772076795512495,4.0,9.0,277024.6167223869,249419.08649670955,0.4804448940493439,0.37723928944494434,14.0,-4.9566419206593865E8,9447392.67591287,1.0,0.0,4.833919766608958E8,621892.5327900859,8.442241800366008E8,2.087681168013511E8,3.650909806999999E8,2.1080440444804445E8
16.0,14.302046852241983,15.772076795512495,4.0,9.0,277024.6167223869,249419.08649670955,0.4804448940493439,0.37723928944494434,14.0,-3.7646813631593865E8,2.121719728746176E8,1.0,0.0,2522841.75,1953206.7747581636,8.442241800366008E8,2.087681168013511E8,4.864754499108958E8,2999038.918237074
16.0,14.302046852241983,15.772076795512495,4.0,9.0,277024.6167223869,249419.08649670955,0.4804448940493439,0.37723928944494434,14.0,-4.9953450006593865E8,1.1815432410243904E7,1.0,0.0,4.828313451608958E8,215235.85810355548,1.6884482896474965E9,4.1753622375443536E8,4.862543037574829E8,2979365.341128951
7.0,12.15638084364694,4.641004745909192,6.0,11.0,415844.25767743564,553621.4733989626,0.32275001452244334,0.44222281017394927,16.0,-1.3285909333024736E7,1.1190077248615155E7,1.666666666666667,1.4907119849998596,3312096.0250000004,4418709.542103572,1841580.8487122238,4117685.0890801917,0.0,0.0
7.0,12.15638084364694,4.641004745909192,6.0,11.0,415844.25767743564,553621.4733989626,0.32275001452244334,0.44222281017394927,16.0,-2.5453398666358072E7,1.4115894130240595E7,1.666666666666667,1.4907119849998596,6106569.85796969,4806429.88246406,3983705.206681913,7047886.171585375,5039356.524999999,1.1268343752757119E7
7.0,12.15638084364694,4.641004745909192,6.0,11.0,415844.25767743564,553621.4733989626,0.32275001452244334,0.44222281017394927,16.0,-4.8597623666358076E7,4.8236022867291026E7,6.000000000000002,11.180339887498949,1.7838402735123884E7,2.5430000648588784E7,1.7630852594132476E7,3.403023651471924E7,2.517553767696302E7,5.0222784657675594E7
7.0,12.15638084364694,4.641004745909192,6.0,11.0,415844.25767743564,553621.4733989626,0.32275001452244334,0.44222281017394927,16.0,-6.167787633302474E7,7.30211147892125E7,7.166666666666668,13.789085861248703,3.08553752265529E7,5.0499875138347045E7,2.8267409820685357E7,5.436120038871605E7,3.930106206845722E7,6.835631938495138E7
7.0,12.15638084364694,4.641004745909192,6.0,11.0,415844.25767743564,553621.4733989626,0.32275001452244334,0.44222281017394927,16.0,-6.023254883302474E7,8.3248642482657E7,8.666666666666664,17.143187827498387,2.9586028875480004E7,6.060389192001582E7,4.295742330184338E7,8.127387934358543E7,4.568201458232935E7,8.265977485916446E7
14.0,4.136557457722068,12.617473286227055,4.0,17.0,557060.4791438861,440346.59091873927,0.7536402455453881,0.06916659870159536,10.0,-2.787614256212228E9,1.8826240377030973E9,212.0,119.61187232043481,1.2022116075E9,8.209110245126848E8,34.86336472818434,33.37488467561207,0.0,0.0
14.0,4.136557457722068,12.617473286227055,4.0,17.0,557060.4791438861,440346.59091873927,0.7536402455453881,0.06916659870159536,10.0,-5.927423637212228E9,3.9449324333775983E9,212.0,119.61187232043481,1.22565229325E9,8.52033970095782E8,2.344072061336473E7,4.060047797511744E7,0.0,0.0
