const_price,const_units
1695475.6963242928,168.0
1695475.6963242928,168.0
1695475.6963242928,168.0
1695475.6963242928,168.0
1695475.6963242928,168.0
8061803.523939925,225.0
8061803.523939925,225.0
8061803.523939925,225.0
8061803.523939925,225.0
8061803.523939925,225.0
7496589.966367354,21.0
7496589.966367354,21.0
7496589.966367354,21.0
7496589.966367354,21.0
7496589.966367354,21.0
3171717.397266628,943.0
3171717.397266628,943.0
3171717.397266628,943.0
3171717.397266628,943.0
3171717.397266628,943.0
6797611.334352887,782.0
6797611.334352887,782.0
6797611.334352887,782.0
6797611.334352887,782.0
6797611.334352887,782.0
9661182.756176062,166.0
9661182.756176062,166.0
9661182.756176062,166.0
9661182.756176062,166.0
9661182.756176062,166.0
2132636.7975776177,552.0
2132636.7975776177,552.0
2132636.7975776177,552.0
2132636.7975776177,552.0
2132636.7975776177,552.0
4782865.81715148,901.0
4782865.81715148,901.0
4782865.81715148,901.0
4782865.81715148,901.0
4782865.81715148,901.0
2730620.5004448523,594.0
2730620.5004448523,594.0
2730620.5004448523,594.0
2730620.5004448523,594.0
2730620.5004448523,594.0
1033985.164265684,935.0
1033985.164265684,935.0
1033985.164265684,935.0
1033985.164265684,935.0
1033985.164265684,935.0
6645210.228086624,405.0
6645210.228086624,405.0
6645210.228086624,405.0
6645210.228086624,405.0
6645210.228086624,405.0
1454537.6386668072,414.0
1454537.6386668072,414.0
1454537.6386668072,414.0
1454537.6386668072,414.0
1454537.6386668072,414.0
8526728.270847544,498.0
8526728.270847544,498.0
8526728.270847544,498.0
8526728.270847544,498.0
8526728.270847544,498.0
6404558.25739897,514.0
6404558.25739897,514.0
6404558.25739897,514.0
6404558.25739897,514.0
6404558.25739897,514.0
5464155.834893323,120.0
5464155.834893323,120.0
5464155.834893323,120.0
5464155.834893323,120.0
5464155.834893323,120.0
2506822.5622464367,868.0
2506822.5622464367,868.0
2506822.5622464367,868.0
2506822.5622464367,868.0
2506822.5622464367,868.0
2686601.677242599,971.0
2686601.677242599,971.0
2686601.677242599,971.0
2686601.677242599,971.0
2686601.677242599,971.0
6879573.768558824,390.0
6879573.768558824,390.0
6879573.768558824,390.0
