const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_tacticsMu,const_tacticsSigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
6.0,14.175683385402722,12.966856858842528,4.0,9.0,739549.2378364953,433862.3269127063,0.27253202667924303,0.7886194085339834,14.0,4490.511965968332,2578.973804499674,0.0,0.0,0.0,0.0,16.624607039186802,3.2257676554812558,0.0,0.0
6.0,14.175683385402722,12.966856858842528,4.0,9.0,739549.2378364953,433862.3269127063,0.27253202667924303,0.7886194085339834,14.0,-2667257.488034032,1293508.591998496,1.0,0.0,2671748.0,1291300.38765889,16.624607039186802,3.2257676554812558,0.0,0.0
6.0,14.175683385402722,12.966856858842528,4.0,9.0,739549.2378364953,433862.3269127063,0.27253202667924303,0.7886194085339834,14.0,-6006942.488034031,2907633.6950463676,1.0,0.0,6011433.0,2905425.872232503,16.624607039186802,3.2257676554812558,0.0,0.0
6.0,14.175683385402722,12.966856858842528,4.0,9.0,739549.2378364953,433862.3269127063,0.27253202667924303,0.7886194085339834,14.0,-9346627.488034032,4521759.070479547,1.0,0.0,0.0,0.0,16.624607039186802,3.2257676554812558,0.0,0.0
6.0,14.175683385402722,12.966856858842528,4.0,9.0,739549.2378364953,433862.3269127063,0.27253202667924303,0.7886194085339834,14.0,-1.2686312488034032E7,6135884.50333439,1.0,0.0,3339685.0,1614125.4845736127,16.624607039186802,3.2257676554812558,0.0,0.0
13.0,3.4792127504756087,2.905025889025661,4.0,3.0,645294.0613281569,115977.33348973782,0.845987388243796,0.028811042487986827,9.0,9534.244444746899,789.305851837949,0.0,0.0,0.0,0.0,47.11978968445386,3.6972266247925254,0.0,0.0
13.0,3.4792127504756087,2.905025889025661,4.0,3.0,645294.0613281569,115977.33348973782,0.845987388243796,0.028811042487986827,9.0,-1.4602375100555527E8,2.4905887056815505E8,85.25,145.9252805376779,1.4603328525E8,2.490581586583688E8,47.11978968445386,3.6972266247925254,0.0,0.0
13.0,3.4792127504756087,2.905025889025661,4.0,3.0,645294.0613281569,115977.33348973782,0.845987388243796,0.028811042487986827,9.0,-3.884729297555552E8,6.641444365616122E8,85.25,145.9252805376779,3.83408462E8,6.640829362358413E8,47.11978968445386,3.6972266247925254,0.0,0.0
13.0,3.4792127504756087,2.905025889025661,4.0,3.0,645294.0613281569,115977.33348973782,0.845987388243796,0.028811042487986827,9.0,-6.309221085055553E8,1.0792300103227077E9,85.25,145.9252805376779,1.94523121E8,3.320752698261565E8,47.11978968445386,3.6972266247925254,0.0,0.0
13.0,3.4792127504756087,2.905025889025661,4.0,3.0,645294.0613281569,115977.33348973782,0.845987388243796,0.028811042487986827,9.0,-8.733712872555553E8,1.494315585378442E9,85.25,145.9252805376779,563778.0,90093.56144309093,47.11978968445386,3.6972266247925254,0.0,0.0
