const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_tacticsMu,const_tacticsSigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
16.0,10.917304197946189,8.927567934666316,3.0,10.0,647995.1620380948,631905.2934747207,0.5987327907582323,0.05328405723471885,8.0,-3.208638617977125E8,3.864955621135821E8,216.66666666666669,152.50428044994524,2.955830183333333E8,3.508982868580244E8,50.20524584515432,18.64774225429382,0.0,0.0
16.0,10.917304197946189,8.927567934666316,3.0,10.0,647995.1620380948,631905.2934747207,0.5987327907582323,0.05328405723471885,8.0,-8.170612754643791E8,9.680428544602556E8,216.66666666666666,152.49990892529158,1.5791492333333334E7,2.0455720685183175E7,50.20524584515432,18.64774225429382,0.0,0.0
16.0,10.917304197946189,8.927567934666316,3.0,10.0,647995.1620380948,631905.2934747207,0.5987327907582323,0.05328405723471885,8.0,-1.3470228964643793E9,1.5221880316134472E9,216.66666666666666,134.82169294623506,5.090195173333333E8,5.303855384401335E8,50.20524584515432,18.64774225429382,0.0,0.0
16.0,10.917304197946189,8.927567934666316,3.0,10.0,647995.1620380948,631905.2934747207,0.5987327907582323,0.05328405723471885,8.0,-1.9200838167977123E9,1.9912039956110094E9,216.66666666666666,118.55893986630541,2.8289565131746036E8,1.8287118472863403E8,8208451.871912512,1.1608414435007121E7,0.0,0.0
16.0,10.917304197946189,8.927567934666316,3.0,10.0,647995.1620380948,631905.2934747207,0.5987327907582323,0.05328405723471885,8.0,-2.526652880131046E9,2.420468840338571E9,216.66666666666666,118.55893986630541,7.640895119841269E8,6.7369324866506E8,1.4462472189372828E7,2.0452934787316307E7,8418828.317460317,1.1906021185843045E7
9.0,19.83068054634181,10.967003858857895,5.0,17.0,158673.28589574742,133643.55596246914,0.8290485117019566,0.5062249235199178,10.0,-3.430744840022686E7,3.569363779123535E7,83.80000000000001,67.60591690081571,3.43138072E7,3.5693626167659685E7,63.90663113954221,36.515594861647095,0.0,0.0
9.0,19.83068054634181,10.967003858857895,5.0,17.0,158673.28589574742,133643.55596246914,0.8290485117019566,0.5062249235199178,10.0,-9.119330040022686E7,9.518668146934862E7,83.80000000000001,67.60591690081571,9.119965919999999E7,9.518666974643566E7,63.90663113954221,36.515594861647095,0.0,0.0
9.0,19.83068054634181,10.967003858857895,5.0,17.0,158673.28589574742,133643.55596246914,0.8290485117019566,0.5062249235199178,10.0,-1.6932061880022687E8,1.8170863965772188E8,83.80000000000001,67.60591690081571,3.43138072E7,3.5693626167659685E7,63.90663113954221,36.515594861647095,0.0,0.0
9.0,19.83068054634181,10.967003858857895,5.0,17.0,158673.28589574742,133643.55596246914,0.8290485117019566,0.5062249235199178,10.0,-2.5531962500022686E8,2.8272310996687835E8,83.80000000000001,67.60591690081571,9.119965919999999E7,9.518666974643566E7,63.90663113954221,36.515594861647095,0.0,0.0
9.0,19.83068054634181,10.967003858857895,5.0,17.0,158673.28589574742,133643.55596246914,0.8290485117019566,0.5062249235199178,10.0,-3.1220547700022686E8,3.4000005076958025E8,83.80000000000001,67.60591690081571,8.466842760000004E7,1.2410686628630202E8,5.035468430663117E7,1.0070924770783761E8,0.0,0.0
19.0,0.271807886955695,11.506544450570495,6.0,4.0,723087.4489714338,656415.9745425737,0.38517028933036,0.02256847363967096,1.0,-8.09630487392435E7,8.080128851199786E7,66.0,29.382534494718684,0.0,0.0,16.28287008422098,55.77702896458626,0.0,0.0
19.0,0.271807886955695,11.506544450570495,6.0,4.0,723087.4489714338,656415.9745425737,0.38517028933036,0.02256847363967096,1.0,-4.581162520725768E8,3.361130943615535E8,84.0,23.021728866442675,0.0,0.0,16.28287008422098,55.77702896458626,0.0,0.0
19.0,0.271807886955695,11.506544450570495,6.0,4.0,723087.4489714338,656415.9745425737,0.38517028933036,0.02256847363967096,1.0,-8.794600904059103E8,6.686635003295311E8,84.0,23.021728866442675,0.0,0.0,16.28287008422098,55.77702896458626,0.0,0.0
19.0,0.271807886955695,11.506544450570495,6.0,4.0,723087.4489714338,656415.9745425737,0.38517028933036,0.02256847363967096,1.0,-1.35673533840591E9,1.1140265115827405E9,84.0,23.021728866442675,5.705623500000001E7,1.2758162000020275E8,6.570089528287009E7,1.469116759837145E8,9769469.333333334,2.1845197533432886E7
19.0,0.271807886955695,11.506544450570495,6.0,4.0,723087.4489714338,656415.9745425737,0.38517028933036,0.02256847363967096,1.0,-1.7155947342392433E9,1.3296438385406961E9,84.0,23.021728866442675,0.0,0.0,6.570089528287009E7,1.469116759837145E8,6.248444234149185E7,1.397194606117419E8
