const_price,const_units
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
1396809.8658944073,68.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
3853092.545626872,952.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
6831908.664345086,341.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
9226319.24651322,211.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
5057079.441587198,575.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
