gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
-750665.6961357654,1.213540205263158E7,-809.866050756587,319148.8534432457,1797503.6842105265,0.0
-750665.6961357505,2.6324858066801615E7,773.1432950378052,1769933.3492396947,1.3743041552631577E7,0.0
-750665.6961357768,4.199411143724696E7,2375.498435224721,4043267.9925806965,1.500898851417004E7,0.0
-750665.6961357691,1.3465479303643726E7,4505.769463262101,7708584.73154684,1.5590497831983803E7,0.0
-750665.6961357592,2.702450588259109E7,7096.358248308831,1.0675884809027262E7,1.5590651172064776E7,0.0
-750665.6961357758,3.80376078562753E7,9103.087220271449,1.3508616546728868E7,1.0367898829959512E7,0.0
-750665.6961357439,1.4202002829959517E7,10494.274136159302,1.6010667978379613E7,1.557746854048583E7,0.0
-750665.6961357277,2.3911095290326018E7,13266.816192234066,1.939347015014445E7,1.500051904048583E7,0.0
-750665.6961357612,3.923913163967611E7,15040.012453916304,2.2256678137363497E7,1.558173655348391E7,0.0
-750665.6961357805,1.513156267206478E7,17117.423668869586,2.5245366578123838E7,1.558178119230769E7,0.0
-750665.6961357554,2.4824415566801623E7,20197.339556720035,2.9067993568781573E7,1.5582537751012145E7,0.0
-750665.6961357438,3.840486588259109E7,22869.741425878936,3.2076427487070803E7,1.5582537751012145E7,0.0
-750665.6961357063,1.4323421382591097E7,25152.62927634622,3.547617911641879E7,1.5582537751012145E7,0.0
-750665.6961358003,2.401555517227786E7,26629.48908943033,3.83535492078357E7,1.5582537751012145E7,0.0
-750665.6961358194,3.934354688280417E7,28929.713388495755,4.1380967974672176E7,1.558181864596207E7,0.0
-750665.6961357649,1.523522135648839E7,31943.18067821538,4.505609736906621E7,1.558181864596207E7,0.0
-750665.6961357617,2.4928793356275305E7,33201.95637914995,4.7981182390193515E7,1.558181864596207E7,0.0
-750665.6961357766,3.8509243672064774E7,36183.25544457052,5.1327280318109825E7,1.5582537751012145E7,0.0
-750665.6961358208,1.442779917206478E7,38209.23675298176,5.458902018738553E7,1.5582537751012145E7,0.0
-750665.6961357808,2.4120652066801615E7,40943.74142587895,5.769926697362731E7,1.5582537751012145E7,0.0
-750665.6961357123,3.944792467227786E7,42640.31151933687,6.102750062099564E7,1.5582537751012145E7,0.0
-750665.6961358115,1.5339599145962074E7,45628.97507073872,6.458961591763641E7,1.558181864596207E7,0.0
-750665.696135785,2.325874872469636E7,47205.12460344901,6.763402024586837E7,1.5582537751012145E7,0.0
-750665.6961356858,3.861362146153846E7,49177.09656606584,7.022599275047107E7,1.5582537751012145E7,0.0
-750665.6961357743,1.4532176961538464E7,51734.92834176676,7.383575283642249E7,1.5582537751012145E7,0.0
-750665.696135853,2.4198148829959515E7,53525.23675298173,7.687919066888072E7,1.5582537751012145E7,0.0
-750665.6961356779,3.955230246175154E7,55941.62927634621,7.979945192429684E7,1.5582537751012145E7,0.0
-750665.6961357086,1.5443976935435759E7,58431.11525765463,8.338705317937365E7,1.558181864596207E7,0.0
-750665.6961358679,2.336312651417004E7,60314.928341766754,8.649043636140995E7,1.558181864596207E7,0.0
-750665.6961358762,3.7875698856275305E7,62475.713388495744,8.92579308820991E7,1.442385296153846E7,0.0
-750665.6961357123,1.4812544435222674E7,64744.71338849573,9.28360098225185E7,1.5584157751012145E7,0.0
-750665.696135805,2.4365002619433198E7,67349.7788090565,9.584509699819799E7,1.5584157751012145E7,0.0
-750665.6961357873,3.887406798785425E7,69567.2928277481,9.87559380081841E7,1.5584157751012145E7,0.0
-750665.6961356997,1.572437064393778E7,72739.63862214057,1.0256742584601179E8,1.5584157751012145E7,0.0
-750665.6961357212,2.3529980303643722E7,74419.50778101911,1.059223160830131E8,1.5583464880779883E7,0.0
-750665.6961357296,3.806592669838057E7,77559.00310812189,1.0914219348270984E8,1.5584157751012145E7,0.0
-750665.6961358748,1.491692222469636E7,79514.27413615929,1.1164514093231946E8,1.5584157751012145E7,0.0
-750665.696135601,2.4469380408906884E7,80993.33955672006,1.153314794634873E8,1.5584157751012145E7,0.0
-750665.6961357463,3.897844577732793E7,83502.81619223412,1.183063568087666E8,1.5584157751012145E7,0.0
-750665.6961359736,1.4054326012358833E7,86202.67600531822,1.2176463463160683E8,1.5583464880779885E7,0.0
-7700508.794854093,5.3844065491190165E7,167.1714121192963,832879.4339984688,4.6707893646274395E7,0.0
-7700508.794854086,5.7874068017505944E7,1067.7687862987266,4320659.590535088,1.0643129471850507E8,0.0
-7700508.794854101,5.999017749119017E7,2148.1342129945706,8556589.018776787,1.0645213212730455E8,0.0
-7700508.794854033,6.4020180017505944E7,3387.0423092746564,1.298803992934602E7,1.0645640598704287E8,0.0
-7700508.794854075,6.613628949119016E7,4205.1626593840665,1.7610295021177903E7,1.0639335770794235E8,0.0
-7700508.794854059,7.016629201750597E7,5023.046685642271,2.2717269646872763E7,1.0634771596319264E8,0.0
-7700508.794854049,7.228240149119017E7,6253.908830062401,2.7771712274574757E7,1.0639335770794235E8,0.0
-7700508.794854147,7.631240401750597E7,7567.792856320611,3.341183561336952E7,1.064166537754529E8,0.0
-7700508.794854095,7.842851349119015E7,8985.858501834831,3.8748322245486066E7,1.0650285573946431E8,0.0
-7700508.794853997,5.4801012017505944E7,10190.252374920174,4.451836240580855E7,1.0641031424831787E8,0.0
-7700508.794854104,5.6917121491190165E7,11677.82349089391,5.011723968300234E7,1.0642370315934905E8,0.0
-7700508.7948540505,6.094712401750595E7,12417.565285204637,5.55583981494123E7,1.063930144455752E8,0.0
-7700508.7948540505,6.3063233491190165E7,14130.429617808582,6.115407821053929E7,1.0639846450115733E8,0.0
-7700508.794853952,6.709323601750594E7,15694.24799855256,6.665273557774234E7,1.0640500574169762E8,0.0
-7700508.794854137,6.920934549119017E7,17282.591543410326,7.231412155145903E7,1.063926890134867E8,0.0
