const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-3.4944843943484907E9,1.0139618340607862E9,388.0,85.0,3.480921161333333E9,1.0114419486666667E9,775055.0628765926,774968.5133685156,0.0,0.0
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-9.288810876848492E9,2.7192837915607862E9,388.0,85.0,1.7410544205E9,5.014141574999999E8,7749932.062876591,7749845.513368515,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.5069174196848492E10,4.438568911560787E9,388.0,85.0,9335018.0,671405.0,1.3949822729543261E7,1.3949736180035185E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-2.086350067934849E10,6.143890869060787E9,388.0,85.0,2.031484286E9,5.85966714E8,1.8212247562876597E7,1.821216101336852E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-2.664386399934849E10,7.863175989060787E9,388.0,85.0,2.997648835E8,8.38811515E7,2.4412138229543258E7,2.441205168003518E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-3.243819048184849E10,9.568497946560787E9,388.0,85.0,2.3219141515E9,6.705192704999999E8,2.8674563062876586E7,2.867447651336851E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-3.8218553801848495E10,1.1287783066560787E10,388.0,85.0,5.90194749E8,1.6843370799999997E8,3.487445372954325E7,3.487436718003517E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-4.4012880284348495E10,1.2993105024060787E10,388.0,85.0,2.612344017E9,7.550718269999999E8,3.913687856287659E7,3.913679201336851E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-4.9793243604348495E10,1.4712390144060787E10,388.0,85.0,8.806246145E8,2.529862645E8,4.533676922954327E7,4.533668268003519E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-5.558757008684849E10,1.6417712101560783E10,388.0,85.0,2.9027738825E9,8.396243834999999E8,4.959919406287661E7,4.959910751336853E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-6.136793340684849E10,1.8136997221560783E10,388.0,85.0,1.17105448E9,3.37538821E8,5.579908472954329E7,5.579899818003521E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-6.716225988934849E10,1.9842319179060783E10,388.0,85.0,3.193203748E9,9.2417694E8,6.0061509562876634E7,6.0061423013368554E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-7.294262320934848E10,2.1561604299060783E10,388.0,85.0,1.4614843455E9,4.220913775E8,6.626140022954331E7,6.626131368003523E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-7.873694969184848E10,2.3266926256560783E10,388.0,85.0,3.4836336135E9,1.0087294965E9,7.052382506287663E7,7.052373851336855E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-8.451721045684848E10,2.4986313931560783E10,388.0,85.0,1.7410544205E9,5.014141574999999E8,7.74987020628766E7,7.749861551336852E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-9.029757377684848E10,2.6705599051560783E10,388.0,85.0,9335018.0,671405.0,8.369859272954324E7,8.369850618003517E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-9.609190025934848E10,2.8410921009060783E10,388.0,85.0,2.031484286E9,5.85966714E8,8.796101756287655E7,8.796093101336849E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.0187226357934848E11,3.0130206129060783E10,388.0,85.0,2.997648835E8,8.38811515E7,9.41609082295432E7,9.416082168003511E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.0766659006184848E11,3.1835528086560783E10,388.0,85.0,2.3219141515E9,6.705192704999999E8,9.842333306287651E7,9.842324651336844E7,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.1344695338184848E11,3.3554813206560783E10,388.0,85.0,5.90194749E8,1.6843370799999997E8,1.0462322372954315E8,1.0462313718003507E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.1924127986434848E11,3.526013516406078E10,388.0,85.0,2.612344017E9,7.550718269999999E8,1.0888564856287646E8,1.088855620133684E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.2502164318434848E11,3.697942028406078E10,388.0,85.0,8.806246145E8,2.529862645E8,1.150855392295431E8,1.1508545268003502E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.3081596966684848E11,3.868474224156078E10,388.0,85.0,2.9027738825E9,8.396243834999999E8,1.1934796406287642E8,1.1934787751336835E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.3659633298684848E11,4.040402736156078E10,388.0,85.0,1.17105448E9,3.37538821E8,1.2554785472954306E8,1.25547768180035E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.4239065946934848E11,4.210934931906078E10,388.0,85.0,3.193203748E9,9.2417694E8,1.2981027956287637E8,1.298101930133683E8,1.76557095E7,1.76557095E7
