const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,2559.893773791589,2705.470873539162,0.0,0.0,0.0,0.0,19.822997118648235,78.96722714392048,0.0,0.0
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.303665010622621E7,9103691.333272777,1.0,0.0,1212590.0,479098.1477366268,19.822997118648235,78.96722714392048,0.0,0.0
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.528697377289287E7,2.031388114702684E7,1.0,0.0,7039280.111111112,1906528.1898017789,6855760.045219342,6486079.751715571,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.8839614106226206E7,3.647616593789019E7,1.0,0.0,7792736.555555556,2576886.0720325317,1.2039776711886011E7,1.2440267097764676E7,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.542435943955954E7,5.7592349334108114E7,1.0,0.0,2942376.555555556,1904337.6453120634,2.062530348966379E7,2.0899067007365942E7,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-8.426783077289286E7,7.072042408713959E7,1.0,0.0,5367556.555555556,2053115.1227184767,2.5756600156330463E7,2.5392519846389536E7,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-9.94975371062262E7,8.607953340222993E7,1.0,0.0,9464460.111111112,1906850.1684888243,3.2612340378552683E7,3.187349681176102E7,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.077540041062262E8,1.0625153424473758E8,1.0,0.0,4614100.111111111,2338782.2030426795,4.119786715633045E7,4.033738743672616E7,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.1963492110622622E8,1.240930321205795E8,1.0,0.0,5367556.555555556,2053115.1227184767,4.6381883822997116E7,4.6287231294302136E7,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.384783927728929E8,1.3714453344733086E8,1.0,0.0,7792736.555555556,2576886.0720325317,5.151318048966378E7,5.07850065821322E7,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.467402017728929E8,1.5737149208146206E8,1.0,0.0,2942376.555555556,1904337.6453120634,6.009870726744156E7,5.92491688273894E7,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.6196456677289286E8,1.7281287097997838E8,1.0,0.0,7039280.111111112,1906528.1898017789,6.6954447489663795E7,6.572947903356691E7,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.7384548443955955E8,1.9065561059714097E8,1.0,0.0,7792736.555555556,2576886.0720325317,7.213846415633047E7,7.16784578884127E7,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.8739278343955955E8,2.0730252160800138E8,1.0,0.0,2937033.555555556,1898322.5055171123,7.89942043785527E7,7.815636851374502E7,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.0095076577289286E8,2.2394286624185386E8,1.0,0.0,5367556.555555556,2053115.1227184767,8.585528760077494E7,8.46416555631697E7,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.1790491743955955E8,2.3822826763814065E8,1.0,0.0,9464460.111111112,1906850.1684888243,9.271102782299715E7,9.112179085203798E7,5296172.555555556,4507157.578907736
