const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-9.147038290374079E8,1.5761093105849547E9,204.25,352.0393266383743,9.109675409166666E8,1.5752446473261998E9,173705.1950309172,289459.00172073283,0.0,0.0
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.429351523037408E9,4.1909362735547833E9,204.25,352.0393266383743,4.5473576850000006E8,7.876254550608791E8,560747.6950309173,959757.0711120256,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.945296557037408E9,6.808010308974383E9,204.25,352.0393266383743,2138169.5,753734.1787807224,863434.7783642504,1484014.3979542172,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-5.462495384037409E9,9.427255979755222E9,204.25,352.0393266383743,5.3080499675000006E8,9.189502277638035E8,1156197.695030917,1991089.0121405025,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-6.978440418037409E9,1.2044330018325699E10,204.25,352.0393266383743,7.820739775000001E7,1.3201169309942988E8,1458884.7783642507,2515354.9838298233,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-8.494381445037409E9,1.4661397116944115E10,204.25,352.0393266383743,6.0681468E8,1.0501718671157798E9,1721875.1950309176,2970865.7469148035,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.0010326479037407E10,1.72784711560943E10,204.25,352.0393266383743,1.54217081E8,2.6323315463180166E8,2024562.2783642514,3495133.497035026,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.1527525306037407E10,1.9897716828409695E10,204.25,352.0393266383743,6.8288390825E8,1.181496642508876E9,2317325.195030918,4002212.553595668,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.3043470340037407E10,2.2514790867765804E10,204.25,352.0393266383743,2.3028630925E8,3.9455787259689784E8,2620012.2783642504,4526481.010971811,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.4559411367037407E10,2.513185796684995E10,204.25,352.0393266383743,7.588935915E8,1.3127182836906102E9,2883002.6950309165,4981993.111634263,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.6075356401037407E10,2.774893200630082E10,204.25,352.0393266383743,3.0629599250000006E8,5.2577948620329404E8,3185689.778364249,5506261.891555342,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.7592555228037407E10,3.0368177678826366E10,204.25,352.0393266383743,8.3496281975E8,1.4440430603846061E9,3478452.695030915,6013341.63519655,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.9108500262037407E10,3.2985251718329533E10,204.25,352.0393266383743,3.8236522075000006E8,6.571042469608562E8,3781139.7783642476,6537610.6046656445,3848472.5,6665749.901531616
