const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.3914993625635292E7,5149595.091456405,1.0,0.0,5127416.0,1896943.1932195544,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.8564753625635292E7,1.0569432742123047E7,1.0,0.0,2197464.0,812975.654236952,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-4.3214513625635296E7,1.5989270422785824E7,1.0,0.0,8057368.0,2980910.732202157,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-5.7864273625635296E7,2.140910811066366E7,1.0,0.0,5127416.0,1896943.1932195544,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-7.25140336256353E7,2.682894580138391E7,1.0,0.0,2197464.0,812975.654236952,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-8.716379362563528E7,3.2248783493513454E7,1.0,0.0,8057368.0,2980910.732202157,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.0181355362563528E8,3.7668621186443985E7,1.0,0.0,5127416.0,1896943.1932195544,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.1646331362563528E8,4.3088458879873246E7,1.0,0.0,2197464.0,812975.654236952,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.3111307362563528E8,4.850829657363406E7,1.0,0.0,8057368.0,2980910.732202157,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.457628336256353E8,5.392813426762648E7,1.0,0.0,5127416.0,1896943.1932195544,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.604125936256353E8,5.934797196178703E7,1.0,0.0,2197464.0,812975.654236952,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.750623536256353E8,6.476780965607352E7,1.0,0.0,8057368.0,2980910.732202157,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.8971211362563527E8,7.018764735045677E7,1.0,0.0,5127416.0,1896943.1932195544,74.05953483802301,103.18210864487445,0.0,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.0436187362563527E8,7.560748504491597E7,1.0,0.0,2197464.0,812975.654236952,74.05953483802301,103.18210864487445,0.0,0.0
