gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
592.0136854263754,0.0,8.021439644875056,12.586558673459363,0.0,1.0
-236094.37684712483,1.8340385713333333E8,-12648.422196718744,834.7068742553146,5954.5,0.0
-236094.3768471144,9.244551576666668E7,-16690.49007550664,-10250.180762466942,1570074.8833333333,0.0
-236094.37684709454,3210995.2333333334,-18202.03310580967,-2420.954560708757,1569273.4333333333,0.0
-236094.37684713732,1.0763081628333335E8,-20215.222196718772,78010.3030758827,1569273.4333333333,0.0
-236094.3768470901,1.6889083083333336E7,-20869.913105809675,131967.17428997738,1820833.416666667,0.0
-236094.3768470664,1.2439705586666667E8,-21451.667045203605,240777.99081802176,1570074.8833333333,0.0
-236094.376847137,3.256399166666667E7,-20920.353105809645,403450.14249891613,1570074.8833333333,0.0
-236094.37684705167,1.378243851833333E8,-20728.52765126422,331881.38520980475,1569273.4333333333,0.0
-236094.37684706284,4.884062318333334E7,-21006.41249974907,453356.58002577856,1820833.416666667,0.0
-236094.37684712705,1.5324853523333335E8,-21080.699772476368,481952.0437496781,1820833.416666667,0.0
-236094.37684721427,6.275756056666667E7,-21329.484014900616,479271.36664153397,1570074.8833333333,0.0
-236094.37684713228,1.6977592528333333E8,-21213.23553005207,678150.361405172,1569273.4333333333,0.0
-236094.37684700728,7.794205963333333E7,-21928.109469446023,571416.5294543507,1570074.8833333333,0.0
-236094.37684703473,1.8344210413333333E8,-21571.85249974908,884193.540458069,1820833.416666667,0.0
-236094.3768471453,9.398127356666669E7,-22583.43189368845,1001516.8377303876,1570074.8833333333,0.0
-236094.37684708508,1637982.8499999999,-21956.840378536937,866770.5429219976,1570074.8833333333,0.0
-236094.37684708077,1.0740780143333335E8,-21810.713105809657,948934.3208222382,1570074.8833333333,0.0
-236094.3768470455,1.8424840883333337E7,-20734.875530052082,1088404.175401899,1820833.416666667,0.0
-236094.37684714462,1.2283275293333332E8,-20325.813711870294,1303860.9207938346,1820833.416666667,0.0
-236094.3768470493,3.1831551750000004E7,-22438.379772476343,1410860.0904000064,1570074.8833333333,0.0
-236094.37684734122,1.393593415333333E8,-22430.04643914302,1235220.1227135852,1570074.8833333333,0.0
-236094.37684725435,4.7526277333333336E7,-22178.757954294517,1330293.4558697925,1570074.8833333333,0.0
-236094.37684710708,1.530263218333333E8,-22222.982196718767,1316993.306390354,1820833.416666667,0.0
