,mean,sd
Bakery.var_capitalMu,-5404014310.715317,13278673713.49886
Bakery.var_capitalSigma,7487158225.568433,21492290471.77203
Bakery.var_employeesMu,23.892860000000002,36.13672247184264
Bakery.var_employeesSigma,29.62459158104891,55.63224687406182
Bakery.var_goodwillMu,119082296.11682002,253410967.40635547
Bakery.var_goodwillSigma,158065612.46817243,413418291.6711166
Bakery.var_total_value_destroyedMu,1682912709.871386,4155713226.14845
Bakery.var_total_value_destroyedSigma,1856824016.0326042,5221462851.456161
Bakery.var_valueProducedMu,98595245.43140094,201044249.3273972
Bakery.var_valueProducedSigma,118034132.09576344,269342341.29257274
