,mean,sd
CattleFarm.const_itersMu,10.958317596515272,5.926652148872326
CattleFarm.const_itersSigma,9.986031675287705,5.712380741338843
CattleFarm.const_number,3.896,1.446928719925092
CattleFarm.const_produced,10.064,5.519601181194176
CattleFarm.const_required,10.072,5.438449351264514
CattleFarm.const_salaryMu,559582.3996830044,296407.41095555876
CattleFarm.const_salarySigma,520972.5846257904,272917.4984689309
CattleFarm.const_tacticsMu,0.4815528307468316,0.293612168636246
CattleFarm.const_tacticsSigma,0.5132215158521959,0.30739299601705644
CattleFarm.const_time,9.656,5.489598449634356
