,mean,sd
Farm.const_itersMu,9.43041235180408,5.451280280488392
Farm.const_itersSigma,9.82214749540212,5.485096467321835
Farm.const_number,3.912,1.431316084289751
Farm.const_produced,9.768,5.242105677529439
Farm.const_required,10.616,5.71621194636831
Farm.const_salaryMu,504406.9011231665,290000.3577323395
Farm.const_salarySigma,485248.7632939427,281522.1353543485
Farm.const_tacticsMu,0.5088055450850898,0.2805658648554468
Farm.const_tacticsSigma,0.5244885017962662,0.2880183560107306
Farm.const_time,9.776,5.402560645870255
