,mean,sd
Farm.var_capitalMu,-400967035.9148117,707038010.2128751
Farm.var_capitalSigma,472421320.6838778,867506506.7984581
Farm.var_employeesMu,9.129406666666744,24.414507754318837
Farm.var_employeesSigma,9.71471614795857,24.344230743211064
Farm.var_goodwillMu,36278010.85521976,193869590.41751987
Farm.var_goodwillSigma,42058439.13589401,198766331.64182445
Farm.var_total_value_destroyedMu,46.56004875401776,46.08880835633007
Farm.var_total_value_destroyedSigma,37.32987953404165,31.12423057626868
Farm.var_valueProducedMu,70234154.41690215,323054585.1540813
Farm.var_valueProducedSigma,82414981.4314016,331820716.2555268
