,mean,sd
Mill.const_consumed,9.28,5.4874057918532815
Mill.const_itersMu,10.572910495659551,5.444683732366956
Mill.const_itersSigma,10.492376667742592,5.778554622804263
Mill.const_number,4.288,1.4633811181162977
Mill.const_produced,10.48,5.867920116813032
Mill.const_salaryMu,541579.7484634538,290781.0850665324
Mill.const_salarySigma,472069.5298270279,291307.74102081516
Mill.const_tacticsMu,0.5070278208226345,0.2850645822018526
Mill.const_tacticsSigma,0.5503878202020461,0.30761607484849235
Mill.const_time,10.96,5.2653532444612186
