,mean,sd
OilField.const_itersMu,9.310765463203468,5.581915148281471
OilField.const_itersSigma,9.297129554429274,5.6459370056120335
OilField.const_number,3.984,1.3914493257913814
OilField.const_produced,10.768,5.447211251831912
OilField.const_required,10.752,5.360619670210742
OilField.const_salaryMu,480887.1633370147,300718.99268409685
OilField.const_salarySigma,507068.8654883331,278696.0071704267
OilField.const_tacticsMu,0.5254363467566889,0.28903196271393533
OilField.const_tacticsSigma,0.5266491917851132,0.29126387084963185
OilField.const_time,9.984,5.436695276646152
