,mean,sd
Person.const_buyBeef,0.5421836115821665,0.3036729089566622
Person.const_buyBread,0.5026584665166925,0.2751933383986585
Person.const_buyFlour,0.501934029969652,0.2901974772174599
Person.const_buyFuel,0.5053510353347428,0.2788778403422785
Person.const_buyLand,0.4690723463339181,0.28635603067771415
Person.const_buyMu,6.018723013557436,2.807701024393961
Person.const_buyOil,0.5243768640276155,0.2800976310937045
Person.const_buySigma,5.709935383958786,3.033191630024141
Person.const_buyWheat,0.5407772805651258,0.27916170560419573
Person.const_consumeBeef,0.4902665607936923,0.30839095182993836
Person.const_consumeBread,0.4704951465615436,0.27500651957715005
Person.const_consumeFlour,0.5068040020942246,0.27972128510900035
Person.const_consumeFuel,0.4978523482571682,0.29146269669787706
Person.const_consumeMu,5.596694644889106,2.8029849773758255
Person.const_consumeOil,0.46446517695367945,0.27478486233453203
Person.const_consumeSigma,5.687716981935729,2.994710969564897
Person.const_consumeWheat,0.503274064369553,0.28232876324606576
Person.const_enjoyBeefMu,494.4390762083473,285.78937464561795
Person.const_enjoyBeefSigma,454.986854258752,275.50097245873934
Person.const_enjoyBreadMu,494.62147233367284,298.0109880978593
Person.const_enjoyBreadSigma,517.4686518598241,285.248103261265
Person.const_enjoyFlourMu,486.61692118160727,304.5083819423044
Person.const_enjoyFlourSigma,502.2940357742476,273.4921403445074
Person.const_enjoyFuelMu,496.472401840117,296.66076532161526
Person.const_enjoyFuelSigma,485.8072671684513,283.6208149453167
Person.const_enjoyOilMu,510.7707071486637,260.5290805100615
Person.const_enjoyOilSigma,461.447856874438,287.8773714120921
Person.const_enjoyWheatMu,526.9072548058839,282.0402590833295
Person.const_enjoyWheatSigma,501.9185344912828,269.320902294179
Person.const_femaleActiveMu,0.4610475023793287,0.30555433113521246
Person.const_femaleActiveSigma,0.5203646769702135,0.3203897392186685
Person.const_femaleBonusSalMu,540.4969415295719,284.7313824126338
Person.const_femaleBonusSalSigma,510.56505013566846,300.1848049576675
Person.const_femaleEduMu,4.94024503994283,2.8128822392734394
Person.const_femaleEduSigma,4.725359903945138,2.815520792934177
Person.const_genderMu,0.5164360779263009,0.27759637727724606
Person.const_genderSigma,0.5013895213966374,0.2910160241836356
Person.const_maleActiveMu,0.49069867553339225,0.2773678270959517
Person.const_maleActiveSigma,0.4708325364913753,0.28972466694999394
Person.const_maleBonusSalMu,504.2180571625267,296.454943766503
Person.const_maleBonusSalSigma,496.7674647274644,280.3035781424925
Person.const_maleEduMu,4.820654496575111,2.9794282690986047
Person.const_maleEduSigma,4.740074464679319,2.8675163938867434
Person.const_number,516.192,239.84284032176268
