,mean,sd
Refinery.const_consumed,8.928,5.478030463912514
Refinery.const_itersMu,10.49019039482382,5.339413550468583
Refinery.const_itersSigma,9.229010035315854,5.613949351528755
Refinery.const_number,3.96,1.4109564697863175
Refinery.const_produced,10.056,5.262167051739784
Refinery.const_salaryMu,487458.66931911546,288963.5348853617
Refinery.const_salarySigma,460341.7674186896,263514.9250002216
Refinery.const_tacticsMu,0.5097563391661253,0.294446936780025
Refinery.const_tacticsSigma,0.503684609681334,0.3166457208795816
Refinery.const_time,10.328,5.503678233219981
