,mean,sd
Bakery.const_consumed,10.28,5.416961204747451
Bakery.const_itersMu,10.192949000056062,5.634092139047297
Bakery.const_itersSigma,10.108749945220469,5.867289097175658
Bakery.const_number,4.088,1.4644742868986353
Bakery.const_produced,9.68,5.412527976077262
Bakery.const_salaryMu,458048.493263014,302649.37988778326
Bakery.const_salarySigma,506135.0955264259,289453.06292649754
Bakery.const_tacticsMu,0.49113833169937,0.2874118971796136
Bakery.const_tacticsSigma,0.4722849418549107,0.2825780437604061
Bakery.const_time,10.616,5.724604634351995
