,mean,sd
CattleFarm.var_capitalMu,-47574709.0741435,49270853.80820334
CattleFarm.var_capitalSigma,9222409.225536423,56152120.806225784
CattleFarm.var_employeesMu,1.1139700000000012,1.2215905461565872
CattleFarm.var_employeesSigma,0.2504539950014058,1.531390760470126
CattleFarm.var_goodwillMu,3065027.601726666,3942222.3380435165
CattleFarm.var_goodwillSigma,1571690.286362313,3552505.1623419067
CattleFarm.var_total_value_destroyedMu,45.03047070533455,42.064566407112245
CattleFarm.var_total_value_destroyedSigma,39.3394538581608,29.744523666953494
CattleFarm.var_valueProducedMu,6134909.812213284,6074942.137130925
CattleFarm.var_valueProducedSigma,3117583.7057565167,5801935.335384159
