,mean,sd
Mill.var_capitalMu,-5406026769.389174,9000170045.248234
Mill.var_capitalSigma,6547047047.874244,10964862848.362453
Mill.var_employeesMu,88.26244666666675,82.58459967526278
Mill.var_employeesSigma,94.43436710071462,100.44975527960695
Mill.var_goodwillMu,355690155.79204416,572608414.0322671
Mill.var_goodwillSigma,450927099.192429,740162141.0096846
Mill.var_total_value_destroyedMu,363267271.2255951,921630556.2292367
Mill.var_total_value_destroyedSigma,489688316.2044455,1238945183.4495397
Mill.var_valueProducedMu,110949288.46211955,227354834.07274526
Mill.var_valueProducedSigma,160381995.5283289,351224421.5960932
