,mean,sd
OilField.var_capitalMu,-45631828.92531985,44246408.24299006
OilField.var_capitalSigma,4080452.5992026534,19792987.9289597
OilField.var_employeesMu,0.9140299999999992,0.32395830322707736
OilField.var_employeesSigma,0.0500547427174293,0.27415455776346725
OilField.var_goodwillMu,2874703.2043266674,3462869.600028086
OilField.var_goodwillSigma,1385591.5571839751,2805464.156222837
OilField.var_total_value_destroyedMu,49.70319738033319,44.22177465656971
OilField.var_total_value_destroyedSigma,37.95767276209947,31.98585705614752
OilField.var_valueProducedMu,5626651.961319968,5245022.694238983
OilField.var_valueProducedSigma,2683872.752616416,4522819.260939459
