,mean,sd
Refinery.var_capitalMu,-491717588.28293896,1553974825.1553326
Refinery.var_capitalSigma,730014935.8888499,2515913634.19239
Refinery.var_employeesMu,8.455773333333347,19.457400990749612
Refinery.var_employeesSigma,11.231684779423343,30.29444453692403
Refinery.var_goodwillMu,34723863.69677898,105800368.07728733
Refinery.var_goodwillSigma,50046109.75901403,180077433.69868413
Refinery.var_total_value_destroyedMu,28616092.17482804,38420550.52396604
Refinery.var_total_value_destroyedSigma,27579059.169088963,42827907.33119647
Refinery.var_valueProducedMu,12737177.725146702,32245067.66146856
Refinery.var_valueProducedSigma,14907398.997325351,64990164.14104861
