,mean,sd
Bakery.var_capitalMu,-13164806428.938341,60249152198.879875
Bakery.var_capitalSigma,3355448356.9195333,15990758454.319906
Bakery.var_employeesMu,30.77742222222221,90.7046178805101
Bakery.var_employeesSigma,10.50056738067503,33.106977864309115
Bakery.var_goodwillMu,158482462.02667388,780289844.1254547
Bakery.var_goodwillSigma,41309282.26444901,194718495.89501947
Bakery.var_total_value_destroyedMu,475975163.7991406,885871347.1893177
Bakery.var_total_value_destroyedSigma,228768420.46318102,871091855.9263747
Bakery.var_valueProducedMu,65715776.34274671,215388563.21656653
Bakery.var_valueProducedSigma,19302577.201504678,85422803.41843316
