,mean,sd
CattleFarm.var_capitalMu,-15201929.675939802,25284199.890857436
CattleFarm.var_capitalSigma,9128497.174635185,17556455.239400726
CattleFarm.var_employeesMu,0.12685555555555528,0.29383221925951997
CattleFarm.var_employeesSigma,0.052713021927824476,0.1472521466071926
CattleFarm.var_goodwillMu,306121.17891111143,873344.8541180297
CattleFarm.var_goodwillSigma,212369.95723451083,706725.3921649144
CattleFarm.var_total_value_destroyedMu,44.95462162732877,55.508943599885434
CattleFarm.var_total_value_destroyedSigma,30.01377373509809,29.746400834887872
CattleFarm.var_valueProducedMu,553785.8327555563,1389969.8566857278
CattleFarm.var_valueProducedSigma,398552.7422436735,1151601.5476272856
