,mean,sd
Farm.var_capitalMu,-60228176.229259565,32175059.94669721
Farm.var_capitalSigma,31988254.32812936,31390171.132985488
Farm.var_employeesMu,0.6497944444444508,0.3262167602217462
Farm.var_employeesSigma,0.2624397379775675,0.228741222785679
Farm.var_goodwillMu,2412933.222977786,3225131.9006447787
Farm.var_goodwillSigma,1381748.439578291,1872547.325591572
Farm.var_total_value_destroyedMu,51.90184150379942,42.63158889074181
Farm.var_total_value_destroyedSigma,35.27458401407768,29.98494065614523
Farm.var_valueProducedMu,4628739.489344429,4981203.518326239
Farm.var_valueProducedSigma,2643886.531518417,2848385.026140367
