,mean,sd
Person.const_buyBeef,0.4336984650658922,0.2755580716571675
Person.const_buyBread,0.480076957232759,0.29147200101456977
Person.const_buyFlour,0.5053697972370266,0.2991680276700406
Person.const_buyFuel,0.5100670864028735,0.31792216074172863
Person.const_buyLand,0.4791454313936841,0.29894876656683955
Person.const_buyMu,6.597475967770248,2.7010121091912223
Person.const_buyOil,0.44043180776529955,0.28175310939306075
Person.const_buySigma,6.705485432916005,3.0214806035248305
Person.const_buyWheat,0.5159589594114733,0.30188248021259817
Person.const_consumeBeef,0.45305974327396326,0.2825428571688105
Person.const_consumeBread,0.4871839725661233,0.27022908903482235
Person.const_consumeFlour,0.5173450684501077,0.2762545485409991
Person.const_consumeFuel,0.4758121718708701,0.30243478275526653
Person.const_consumeMu,5.949621051033835,2.823402382735863
Person.const_consumeOil,0.5014691614793706,0.2829870328510634
Person.const_consumeSigma,5.678763651494052,2.7429935771947633
Person.const_consumeWheat,0.4738687747191165,0.27141481568786613
Person.const_enjoyBeefMu,493.615079712792,292.9770664311076
Person.const_enjoyBeefSigma,538.1978349135561,277.9423986248691
Person.const_enjoyBreadMu,443.4297843827555,279.76859264377595
Person.const_enjoyBreadSigma,435.8803079304332,294.63252417108384
Person.const_enjoyFlourMu,550.119112953679,298.3242483094734
Person.const_enjoyFlourSigma,490.64297888568007,261.00203378898726
Person.const_enjoyFuelMu,514.1693654468696,284.27233166053657
Person.const_enjoyFuelSigma,471.76393840864966,310.92823952476454
Person.const_enjoyOilMu,536.6617891727439,276.09032041094673
Person.const_enjoyOilSigma,517.669310905168,290.0833146927366
Person.const_enjoyWheatMu,508.52043406253574,302.92889084802084
Person.const_enjoyWheatSigma,529.8109343816914,286.23890740826636
Person.const_femaleBonusSalMu,486.662963767195,317.75640065587214
Person.const_femaleBonusSalSigma,504.64968630675577,265.447287208862
Person.const_femaleEduMu,5.04949214558669,2.6926304898880664
Person.const_femaleEduSigma,5.206115276308321,2.779195361501613
Person.const_genderMu,0.46913185751099273,0.2548566414449092
Person.const_genderSigma,0.5210261062820462,0.2846465714981869
Person.const_maleBonusSalMu,486.22298770999413,295.8742254880835
Person.const_maleBonusSalSigma,462.5750517106131,281.94708761761336
Person.const_maleEduMu,5.027124575094184,3.115436775073582
Person.const_maleEduSigma,4.597259034985131,2.7212339673529704
Person.const_number,556.7833333333333,253.6217216935367
