,mean,sd
Refinery.var_capitalMu,-1716128024.291612,9318616331.441708
Refinery.var_capitalSigma,1194289801.2600203,9580504803.311617
Refinery.var_employeesMu,5.09302222222222,22.819068986893075
Refinery.var_employeesSigma,1.8775738034871203,14.37685639483028
Refinery.var_goodwillMu,10286438.292055868,59595473.89823214
Refinery.var_goodwillSigma,2015116.1793524968,5285046.793737017
Refinery.var_total_value_destroyedMu,4398346.699681658,37077371.83160357
Refinery.var_total_value_destroyedSigma,5830624.121029046,52362155.89937747
Refinery.var_valueProducedMu,217034.4671699348,1212119.7302762475
Refinery.var_valueProducedSigma,138268.16067991484,968218.7961938943
