,CattleFarm.const_itersMu,CattleFarm.const_itersSigma,CattleFarm.const_number,CattleFarm.const_produced,CattleFarm.const_required,CattleFarm.const_salaryMu,CattleFarm.const_salarySigma,CattleFarm.const_time,CattleFarm.var_capitalMu,CattleFarm.var_employeesMu,CattleFarm.var_goodwillMu,CattleFarm.var_total_value_destroyedMu,CattleFarm.var_valueProducedMu
0,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-14243799.0,0.49064636,531397.0,795.0812,4847525.0
1,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-20632140.0,0.47542942,1319723.0,666.11804,4924461.0
2,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-22687076.0,0.48075277,1598857.5,618.0829,5467578.0
3,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-30239496.0,0.5087065,1942154.8,638.3166,5965353.5
4,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-38522370.0,0.5747953,2277430.5,673.77783,6709370.0
5,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-44411556.0,0.66609234,2863161.0,693.6585,7989165.5
6,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-48855110.0,0.7693911,3564241.5,713.284,9647709.0
7,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-53159544.0,0.87793577,4455857.0,750.7418,11689574.0
8,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-58627304.0,0.9823798,5602542.5,805.9292,14253986.0
9,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-64763468.0,1.0973856,6832597.0,872.9056,17260518.0
10,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-73230340.0,1.2166822,8073495.0,952.9003,20218188.0
11,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-81924700.0,1.3369632,9367280.0,1034.6377,23469024.0
12,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-88721224.0,1.4675502,10820187.0,1107.5115,26936832.0
13,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-96357160.0,1.5905057,12355497.0,1177.7622,30426264.0
14,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-105210400.0,1.7051764,13859532.0,1244.4055,33871716.0
15,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-114809440.0,1.8161902,15483559.0,1304.2703,37517364.0
16,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-126604930.0,1.9221766,17023534.0,1344.0615,40949864.0
17,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-139537900.0,2.0295782,18551664.0,1364.9834,44223530.0
18,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-152740130.0,2.1309795,20098944.0,1369.7065,47411428.0
