,Farm.const_itersMu,Farm.const_itersSigma,Farm.const_number,Farm.const_produced,Farm.const_required,Farm.const_salaryMu,Farm.const_salarySigma,Farm.const_time,Farm.var_capitalMu,Farm.var_employeesMu,Farm.var_goodwillMu,Farm.var_total_value_destroyedMu,Farm.var_valueProducedMu
0,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,-31953216.0,1.5904644,8048519.0,923.1913,7561801.0
1,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,-44361064.0,1.8502911,9258345.0,868.80585,10565546.0
2,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,-45242784.0,1.8763202,9925810.0,866.33875,11622074.0
3,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,-39942690.0,1.8517826,10907243.0,879.3766,12950844.0
4,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,-32777588.0,1.8011467,12276275.0,870.9648,15176020.0
5,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,-21050780.0,1.7570341,13043281.0,785.1215,17494714.0
6,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,-7315548.0,1.7372267,13201442.0,614.42316,19364514.0
7,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,600444.0,1.714899,13560591.0,325.16235,21245820.0
8,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,2357536.0,1.7003146,13763774.0,-45.143738,23089230.0
9,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,2534596.0,1.6632576,13556332.0,-355.5421,24568812.0
10,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,1900772.0,1.6021295,13906885.0,-575.9367,25586108.0
11,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,3013524.0,1.5859969,14080612.0,-722.8061,26189572.0
12,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,6806732.0,1.5988865,14211652.0,-814.6578,26612512.0
13,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,11995596.0,1.615213,14354743.0,-873.4255,26936122.0
14,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,17593996.0,1.6288171,14539627.0,-920.7476,26947398.0
15,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,22743540.0,1.6354586,14617439.0,-960.5522,26711526.0
16,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,27275060.0,1.6231083,14384447.0,-1003.92365,26346668.0
17,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,31355036.0,1.6021614,14090761.0,-1045.353,26018588.0
18,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,34881516.0,1.5712247,13704248.0,-1081.5342,25821576.0
19,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,36503500.0,1.5309677,13045004.0,-1095.2627,26208958.0
20,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,38080644.0,1.4973496,12418379.0,-1080.0193,26826402.0
21,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,37907708.0,1.4785357,12402600.0,-1054.624,27312578.0
22,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,36514980.0,1.4690021,12367841.0,-1019.128,27848180.0
23,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,33972132.0,1.4591558,12660753.0,-974.1883,28436336.0
24,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,31807796.0,1.4533463,13084018.0,-932.91254,28940686.0
25,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,30730932.0,1.4516561,13384939.0,-900.6917,29366590.0
26,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,30084956.0,1.4515333,13605224.0,-875.4285,29740544.0
27,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,29832348.0,1.4544142,13739073.0,-853.6115,30025604.0
