,Mill.const_consumed,Mill.const_itersMu,Mill.const_itersSigma,Mill.const_number,Mill.const_produced,Mill.const_salaryMu,Mill.const_salarySigma,Mill.const_time,Mill.var_capitalMu,Mill.var_employeesMu,Mill.var_goodwillMu,Mill.var_total_value_destroyedMu,Mill.var_valueProducedMu
0,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-4457961500.0,42.509186,80794580.0,-76794690.0,54776070.0
1,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-10490033000.0,57.153152,155771730.0,-64512704.0,74637470.0
2,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-21577126000.0,66.95894,304723550.0,22863776.0,77577130.0
3,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-37191080000.0,77.41953,360284300.0,172416400.0,57400024.0
4,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-57074860000.0,86.40707,343793400.0,332056960.0,23657244.0
5,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-78137750000.0,89.72696,259480100.0,465104300.0,1566828.0
6,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-98880020000.0,93.606094,235627800.0,545353800.0,-3294376.0
7,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-119275300000.0,92.65059,234014940.0,550586400.0,2239444.0
8,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-137499640000.0,90.31885,298052300.0,516496700.0,16907748.0
9,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-153316080000.0,89.49176,333599740.0,471120130.0,34414960.0
10,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-168869740000.0,92.34387,376232450.0,432791200.0,42522760.0
11,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-182343660000.0,97.634674,384257380.0,403712860.0,46870740.0
12,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-192251170000.0,103.92346,384917500.0,377234430.0,47125624.0
13,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-198592820000.0,109.971886,366105730.0,345118700.0,47064344.0
14,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-200809600000.0,114.034355,350763070.0,302147970.0,45715492.0
15,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-199211580000.0,116.10206,329053760.0,248280210.0,41241970.0
16,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-193671820000.0,116.11734,301969660.0,181721540.0,35395400.0
17,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-183599480000.0,114.28903,288036540.0,130448630.0,29309716.0
18,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-166264030000.0,109.39473,266444380.0,109996820.0,26938790.0
19,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-141968800000.0,99.457565,204881500.0,117439650.0,26764154.0
20,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-117091110000.0,95.301575,247458620.0,177932260.0,44867864.0
21,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-96837380000.0,94.38846,332917440.0,291694530.0,71318190.0
22,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-82971160000.0,97.42192,402661570.0,429563330.0,91372770.0
23,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-75628400000.0,102.66313,446563700.0,508416200.0,103428170.0
24,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-70810160000.0,105.748856,451224700.0,537864000.0,113508880.0
25,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-67107463000.0,106.512886,463026800.0,544475840.0,120817200.0
26,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-63291638000.0,106.39249,471954620.0,536034880.0,125089940.0
27,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-59633074000.0,105.772835,487510720.0,517150300.0,128068510.0
28,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-55452344000.0,104.92334,505209540.0,485754100.0,134323260.0
29,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-51081003000.0,104.27951,533528580.0,443795040.0,143000560.0
