,OilField.const_itersMu,OilField.const_itersSigma,OilField.const_number,OilField.const_produced,OilField.const_required,OilField.const_salaryMu,OilField.const_salarySigma,OilField.const_time,OilField.var_capitalMu,OilField.var_employeesMu,OilField.var_goodwillMu,OilField.var_total_value_destroyedMu,OilField.var_valueProducedMu
0,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-2466716.2,0.05290857,114828.16,854.98047,24131.742
1,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,5163649.0,0.07571689,41978.426,1124.2385,35667.934
2,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,8503631.0,0.0628707,37475.49,1299.3147,22029.127
3,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,8711565.0,0.061503932,39897.402,1378.6724,16173.635
4,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,7429972.0,0.062458016,42460.105,1388.706,10966.215
5,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,6651001.0,0.06733213,43522.66,1365.0176,10544.104
6,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,6162575.0,0.070838556,41797.82,1328.4751,11107.611
7,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,5898001.0,0.07472241,40272.746,1289.6233,12939.975
8,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,5839261.0,0.07694065,36552.99,1247.0444,16573.56
9,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,5344296.0,0.07826143,33283.22,1233.5127,20039.203
10,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,4482891.0,0.08110691,32096.535,1245.9309,21509.283
11,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3682150.8,0.085571535,33618.258,1259.811,21478.209
12,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,2997346.2,0.091484934,36809.26,1271.8247,20401.348
13,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,2606500.8,0.091985196,40959.363,1280.1252,16269.069
14,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,2235903.8,0.0894134,45094.695,1287.009,11505.846
15,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,1966954.2,0.08624472,49696.97,1290.0703,6772.723
16,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,1807263.0,0.08371868,53769.152,1287.8059,3240.2988
17,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,1796456.0,0.082904086,56741.973,1273.4353,2314.0596
18,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,2084380.2,0.0806523,59832.836,1252.0616,-368.50293
19,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,2743690.8,0.07757983,65417.504,1266.0042,4.676758
20,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3187053.2,0.0774311,67735.81,1309.4746,3987.3975
21,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3593232.8,0.07957167,68415.164,1369.3959,7217.051
22,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3776361.8,0.08335541,67412.45,1419.6531,10284.611
23,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3698138.2,0.087667555,67280.97,1469.593,13330.271
24,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3643218.2,0.09188903,67772.875,1529.1234,16389.719
25,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3670868.2,0.09518083,68194.734,1594.1621,19971.922
26,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3902229.8,0.096548736,67883.5,1652.6624,22381.783
