,Person.const_buyBeef,Person.const_buyBread,Person.const_buyFlour,Person.const_buyFuel,Person.const_buyLand,Person.const_buyMu,Person.const_buyOil,Person.const_buySigma,Person.const_buyWheat,Person.const_consumeBeef,Person.const_consumeBread,Person.const_consumeFlour,Person.const_consumeFuel,Person.const_consumeMu,Person.const_consumeOil,Person.const_consumeSigma,Person.const_consumeWheat,Person.const_enjoyBeefMu,Person.const_enjoyBeefSigma,Person.const_enjoyBreadMu,Person.const_enjoyBreadSigma,Person.const_enjoyFlourMu,Person.const_enjoyFlourSigma,Person.const_enjoyFuelMu,Person.const_enjoyFuelSigma,Person.const_enjoyOilMu,Person.const_enjoyOilSigma,Person.const_enjoyWheatMu,Person.const_enjoyWheatSigma,Person.const_femaleBonusSalMu,Person.const_femaleBonusSalSigma,Person.const_femaleEduMu,Person.const_femaleEduSigma,Person.const_genderMu,Person.const_genderSigma,Person.const_maleBonusSalMu,Person.const_maleBonusSalSigma,Person.const_maleEduMu,Person.const_maleEduSigma,Person.const_number,Person.var_capitalMu,Person.var_happinessMu,Person.var_salaryMu,Person.var_total_value_destroyedMu
0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,44511744.0,6315.5225,303988.72,6495062.0
1,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,303958530.0,13188.551,567900.94,22406590.0
2,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,618454200.0,28574.262,746599.75,51846410.0
3,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,978467100.0,44451.727,884338.4,78699040.0
4,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,1344606200.0,56468.0,994316.0,102428000.0
5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,1687853600.0,62641.69,1158592.5,116990300.0
6,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,2000685800.0,64851.09,1328576.8,126739420.0
7,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,2274018800.0,65615.055,1499350.4,133749790.0
8,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,2495696400.0,70011.695,1633531.2,141617820.0
9,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,2668104000.0,78169.71,1724927.0,147850740.0
