,Bakery.var_capitalMu,Bakery.var_capitalSigma,Bakery.var_employeesMu,Bakery.var_employeesSigma,Bakery.var_goodwillMu,Bakery.var_goodwillSigma,Bakery.var_total_value_destroyedMu,Bakery.var_total_value_destroyedSigma,Bakery.var_valueProducedMu,Bakery.var_valueProducedSigma
Bakery.const_consumed,0.49431367991092856,0.9733518103330047,0.977287827766868,0.8695602459761986,0.9482835554110061,0.9522590140220233,-0.5307263621415681,0.8602682878200615,0.5500736652401856,-0.8578204812693923
Bakery.const_itersMu,0.7350720477263486,-0.6010147203574271,0.47573706939593136,0.8020382034360377,-0.9111986935596755,-0.09438920524418906,-0.6748347205101182,0.3072228485912017,-0.8814333329244293,-0.6305731826712003
Bakery.const_itersSigma,0.9339670122495867,-0.17291693962928065,-0.31081929770587674,-0.17857534479339818,-0.5800135993461758,-0.18124025623276063,-0.8237489438332293,-0.9519748595005533,0.4658734584120151,-0.8428923289271371
Bakery.const_number,-0.2756810692035353,0.642550516666452,-0.385426361116912,0.2915195125204302,0.061811047072757155,0.42619887485910013,0.0041526319290559255,-0.43293722477683927,-0.9131316805647488,0.09694558483708306
Bakery.const_produced,0.40310555274708615,0.13965132099145416,-0.21605019235304104,-0.3261010428159897,0.5182367994574907,-0.138911471407882,0.12410542435826244,0.006819215796318112,0.47009606466021975,-0.28572605409398494
Bakery.const_salaryMu,0.13036300162547632,0.055949330533678565,-0.32524148473856423,-0.31461928150498136,0.38291878244349126,0.903527024812082,-0.7379581898821206,-0.16340405636776734,-0.21233713930436837,0.02748311525921053
Bakery.const_salarySigma,0.172217136047964,-0.41966187507026104,0.07904404379523627,0.16589770181089383,-0.46667663508604096,-0.05512383396926099,0.14177979489627357,0.13407303090357262,0.4673521773065644,0.3975192571255636
Bakery.const_tacticsMu,0.2504214694804464,-0.029107157379584882,0.049780692892704315,-0.5444232078287251,-0.18964811603844062,-0.25516394041163015,-0.17602789242483907,0.0969183055875531,0.06275416032646619,-0.05658474605408943
Bakery.const_tacticsSigma,-0.6070370155183636,0.03927229363183314,0.19253118936909072,-0.43951988993834196,0.19974762608046834,-0.15894472664335377,0.10848505623797029,0.1387494569049488,0.3403851583716959,0.4668269519903258
Bakery.const_time,0.032493840402660804,0.11347872921062964,-0.5159379114521527,0.22162497813488724,0.17012560560547796,0.07461381629362512,0.20808775087210474,0.38922243990517025,-0.12097961474613533,-0.10178271313585381
Bakery.var_capitalMu,0.9281228392976952,-0.8428258851722646,-0.47786941439667785,0.10594455838857926,0.2985933148956098,-0.7023126886075616,0.28088423818545366,0.4440803582232214,-0.25506957814006664,-0.5561107707975612
Bakery.var_capitalSigma,-0.527559913136409,0.7863140126299086,0.015576794865870946,0.7945225351301202,0.7811374936233587,0.640280962711017,0.3106531071766805,-0.1893767539791494,0.01161717426480595,0.05755504660522705
Bakery.var_employeesMu,0.00527180455828291,-0.1854812239726577,0.8445890607110759,0.7251998439234221,0.23047844222355934,0.08790872606710413,0.031795071724145724,0.40424047019440873,0.358161214548665,0.2658179527922815
Bakery.var_employeesSigma,-0.21303051264557837,0.2626950175481356,0.551380829977916,0.7116765284732363,0.23626269387807172,0.48734927364889297,0.580021887790964,0.21818264051341638,0.01478094339045774,0.06873548829806597
Bakery.var_goodwillMu,-0.14188845030685368,-0.09560238114349598,0.25824315319899277,0.003500174612299977,0.1613741288882868,-0.3427611086928964,0.5187597144728286,-0.03894458011538377,-0.48571926930052867,-0.47683176569474073
Bakery.var_goodwillSigma,-0.14450836832294528,0.12933185192005464,0.001390824582752906,0.057606927636545166,0.1918961773630832,0.25380854602445435,-0.28901504356230834,0.1506693273717203,0.45892353813001735,0.6574202915456595
Bakery.var_total_value_destroyedMu,0.18313178334234992,-0.27297563721858664,0.07608887564210999,0.04621917472943059,0.044736859478351425,0.01058227159764007,0.828238802963943,0.7097905081751994,0.36167116342524325,0.3966427138528374
Bakery.var_total_value_destroyedSigma,0.14570054784460804,-0.05859500831520925,-0.14428765830056367,0.006851605688139114,-0.32767219621307425,-0.10701771156017939,0.4476270277329518,0.6444800325743578,-0.0723932412758912,0.2589438055809485
Bakery.var_valueProducedMu,0.09004500918245914,0.04586891400254386,-0.07074357594379434,-0.022937916927388287,0.33121095280718427,0.4393616552649044,-0.006087682769558693,-0.0662841314275697,0.8678335101675181,0.7390355921958727
Bakery.var_valueProducedSigma,-0.26156915903477895,0.1740918275992229,0.12321422974603172,0.03139465965290776,0.12821931144927023,0.3292495051746365,-0.017881892524658004,0.02232734257536824,0.4837893108733842,0.6537153662251048
Person.var_capitalMu,-0.1591429930549568,0.17624058972272305,-0.012175021851866908,-0.032222515107739796,0.020612537214195703,-0.0009391145796535312,-0.026841409166815888,0.01598984917332603,-0.07531136179841523,-0.1767472735379004
Person.var_capitalSigma,-0.0541643042085344,-0.09201613010412062,-0.040516349947243895,0.07695318840831242,0.1864696146797338,-0.0952154674274254,-0.03565360880182461,0.04758204018261758,-0.07239624373900898,-0.07951770502512692
Person.var_happinessMu,-0.03749724458154293,-0.14271020517743055,0.022713238891453595,0.03710021612278679,-0.009539279785915686,-0.0904888250531027,0.0071203406419821326,0.16395385280018188,-0.025859931644978393,-0.03383422552237071
Person.var_happinessSigma,-0.021658047641068993,0.007465179974291553,-0.08871141538594636,-0.12001264969442124,0.030197412350170136,-0.08042796465563304,0.07556314411058751,0.13600438208276566,-0.06252917910184135,-0.03379333399848875
Person.var_salaryMu,-0.09808974236238456,0.028979595583274908,0.01215852783503293,0.024569449687833516,0.17916698541830867,0.19972366043764264,0.03581193223200481,-0.07614996683388621,0.005356084376912357,0.0638751980476894
Person.var_salarySigma,-0.005353129709846439,0.017623475923941544,0.10863234926997377,-0.0013700418024108793,0.04241452290008893,0.06974796829829162,0.03386303609795845,0.056362776786830465,0.065568259047143,0.01931812907740065
Person.var_total_value_destroyedMu,0.05853464799872671,0.11608117058171827,0.07990211626242824,-0.08599315301062634,-0.07966144274135253,0.14769947251028473,-0.05454748385142432,-0.16985019510957847,0.08730194458557941,0.18110225074716757
Person.var_total_value_destroyedSigma,0.1498935199384122,-0.0169870800120014,-0.0987121575869629,-0.23506347166249783,0.07930643698435531,-0.016202901120723614,-0.009379213025030848,-0.015116785781497005,-0.033803125444193616,-0.08764320998116171
Mill.var_capitalMu,-0.00446987610022028,0.02270143855999628,0.017180970018701034,-0.055999979624058574,0.1345321914732113,0.2213922689719155,0.0047519458830009,-0.06664506025733238,-0.16208591089227423,-0.095006307856532
Mill.var_capitalSigma,0.03546932698987912,0.049717463144709505,-0.006063155437623344,-0.12453279409162736,0.1050400661103289,0.10297902037513976,0.06882586916918207,-0.18117688360466733,0.09206379633741231,0.16234598736253103
Mill.var_employeesMu,-0.06088355446907471,-0.09052314740922983,0.04134411823362162,-0.16932623425395762,-0.017359866725020563,0.060366468515048774,-0.06017130939541547,-0.04158357506641347,0.04842774033173017,0.05664053123489455
Mill.var_employeesSigma,0.01767444074405994,0.07389877491068547,-0.028566795338579466,0.05277520423994229,-0.16058812128534472,0.020425338958426027,0.07120990477234371,0.06775024993982057,-0.022185097555620654,-0.05559367932928978
Mill.var_goodwillMu,0.13367448456809905,0.05104985801785945,0.0012012201738785993,0.09365618625951748,-0.008089708888122622,0.17265704639315516,-0.023343470653034697,0.04822883829062072,0.029012663964779792,-0.09831684918903072
Mill.var_goodwillSigma,-0.04137027363863563,-0.09042124788952086,-0.03545371755812201,-0.19453738029111553,-0.12018504366934915,-0.15430018815587604,0.13347097929152862,-0.07751352138102283,1.4847723771577185e-05,-0.02044619495731721
Mill.var_total_value_destroyedMu,0.07587316442832451,-0.13690160243768312,-0.1297975612490985,-0.09739057387485729,-0.08271353359353675,0.0059058202262167615,-0.08900258669846559,0.017625494410885973,-0.003602417699853953,0.08646100293457587
Mill.var_total_value_destroyedSigma,0.09188065900060038,0.16211894490920645,-0.012853785312365508,0.0918604680680157,0.028680445099735764,-0.05588858662769518,0.21914546749538574,0.002649472071257987,0.12131580190052547,0.007630158742944759
Mill.var_valueProducedMu,-0.14231139028780382,-0.04710758303097936,0.096679371604754,0.035956031932483,-0.0248462107754817,-0.014272840641976838,0.14835555338162065,0.03391388486923122,0.052265464329380174,-0.07888858215674446
Mill.var_valueProducedSigma,0.03225126568202336,0.05050699465846423,-0.06511605182409752,-0.06792180834453165,0.07298148335399082,0.021772384683610254,-0.05570277304748408,0.07569123082828172,0.02060927729266829,0.0397223992781842
