,Farm.var_capitalMu,Farm.var_capitalSigma,Farm.var_employeesMu,Farm.var_employeesSigma,Farm.var_goodwillMu,Farm.var_goodwillSigma,Farm.var_total_value_destroyedMu,Farm.var_total_value_destroyedSigma,Farm.var_valueProducedMu,Farm.var_valueProducedSigma
Farm.const_itersMu,-0.9847791307706515,0.9916393797019744,0.05549226079391258,-0.3713504305980807,-0.376846534584638,-0.9949375120268977,-0.971550384488646,-0.9167975607257617,-0.9926877443528173,-0.9927920902636961
Farm.const_itersSigma,-0.8576964191651778,0.9168654148318135,-0.8246611253025558,-0.9943699840498271,-0.3041867876899325,-0.6683143718264273,-0.9668067915358152,-0.5971566678386717,-0.5730187633182018,0.48100270696696745
Farm.const_number,0.647057976916828,0.7608277820230973,-0.9677156093994576,-0.5928616990116508,-0.6297591398008014,-0.2588819742274947,-0.34332642260476454,0.2688139486013989,-0.9141385947961843,-0.03170724825785628
Farm.const_produced,0.40911266740771435,-0.08482395809359596,0.24211245715073693,-0.30774589798930846,0.6153998159794696,-0.08204158633603217,0.8165149581712772,0.7126485852148975,0.6843178685357018,0.7433581698986251
Farm.const_required,0.01630320115769635,0.11791760171753962,-0.7417159257662587,-0.225696513488858,-0.3679013885021901,0.18858078450186458,-0.1567596006637137,-0.6861290874512491,0.1870899011357007,-0.016394260398987635
Farm.const_salaryMu,0.19685729981607442,0.016389693841028306,0.25932883804585477,0.09841856822872695,-0.20431098854826635,0.1248881034155318,-0.08736251385675017,-0.5330040132772872,0.28395681684868657,0.26161589861337897
Farm.const_salarySigma,-0.29706547286799256,-0.4645336474243858,-0.34151556991674914,0.476069672548267,-0.0451812793653612,0.532377971085783,0.3347379852430438,0.3863426294993755,0.11719456969781682,0.7248124896685613
Farm.const_tacticsMu,-0.0204394263585767,-0.04964789336848436,-0.22383915550852104,0.11292957213382575,-0.18165728417294205,0.025546837071628893,0.24921659603656873,0.4856631412874432,0.380182181359337,0.06890269852805755
Farm.const_tacticsSigma,0.49081364236847425,-0.6071058385662942,-0.05074042918412147,-0.2468974944054422,-0.564725284166504,0.17994230404040493,0.241576474245196,0.11168156070010538,-0.15596239245931293,-0.4888505473461275
Farm.const_time,0.31228433736467914,0.16988336909030308,-0.11916595081097181,-0.3093363358544746,-0.15085361873994094,-0.6209948343223237,0.04568608799335586,0.11786905392816742,-0.15146286003147924,0.22487076350201718
Farm.var_capitalMu,0.9177140224632566,-0.8180931891704716,-0.4425512655027247,0.06467431647286209,-0.43618758383333645,-0.15248724010574147,0.5697876512246062,-0.025550402583024167,0.5487499193757371,-0.24885256609995693
Farm.var_capitalSigma,-0.37190976660185693,0.7235310360893421,0.14130163496747408,0.7259640699919183,-0.5094945543780117,0.29839390456502385,0.2340186108781339,0.5129143226989424,0.040549043560968535,-0.1472604790787883
Farm.var_employeesMu,-0.0312750931508564,0.04401908122753078,0.8740541113342858,0.7263188253664894,0.35024709359038303,-0.6396580479182419,0.002015634834454343,0.06923659733690225,-0.6571096206668635,-0.616754548715819
Farm.var_employeesSigma,-0.20379174705988984,0.2982595692825407,0.42846419395336,0.6414040407694825,0.15162223084778265,0.35657656093856077,0.038105682702130134,-0.28278829176540476,0.3987515368485822,0.3746428188537742
Farm.var_goodwillMu,0.014144381776717544,0.08488439075654754,0.27974025566137073,0.08900309467242562,0.29057114040080567,0.17513582484349505,-0.09307194058120491,-0.35030220959737884,0.237651632029684,-0.1568333524077674
Farm.var_goodwillSigma,0.030205339340823024,-0.17317599181280088,-0.19073567520989457,-0.10375542876919794,-0.08915632589384999,0.032866036824821136,-0.38773347363157856,0.42179682165864846,0.2387523215387838,0.32104869822056153
Farm.var_total_value_destroyedMu,0.10858031119553234,-0.12888935621032593,-0.15748466779312975,-0.02599499970210215,0.2402203419112065,0.08023126968286781,0.9620710568911204,-0.14267885892404683,0.18080466285235555,0.10149602188675134
Farm.var_total_value_destroyedSigma,0.03080730335687677,-0.024364252882630673,0.06967648672022853,-0.06450544344485382,0.1621005360345046,-0.08995973077244389,-0.06434743414889475,0.938329426003033,0.030343040966254738,0.07586186939883634
Farm.var_valueProducedMu,-0.14604498016900896,-0.05041577351175001,0.24497358995731272,0.21386410985378426,0.6463903144039842,0.6379773555108473,0.010611841025281829,0.054416702469518026,0.7425936352260981,0.22913425721949968
