,Mill.var_capitalMu,Mill.var_capitalSigma,Mill.var_employeesMu,Mill.var_employeesSigma,Mill.var_goodwillMu,Mill.var_goodwillSigma,Mill.var_total_value_destroyedMu,Mill.var_total_value_destroyedSigma,Mill.var_valueProducedMu,Mill.var_valueProducedSigma
Mill.const_consumed,0.010377837546394111,0.9636115682514744,0.9816865079773427,0.9741891623414424,-0.9834611474646558,0.9212142699525536,-0.8367640347873924,0.998034138080036,-0.8570840611951825,0.9416423816741625
Mill.const_itersMu,-0.9153011484830442,-0.654216165348978,-0.7149621391033127,0.7202800799961812,0.5504807571616788,0.7239424788181598,0.9265284317472221,0.649838425604747,-0.13182551314833255,0.7492979029436011
Mill.const_itersSigma,0.5619237914973226,0.7975335361609922,0.24742694463693565,-0.1456484762141802,-0.7404030997778678,-0.5325217020399843,0.4280993406492439,-0.4599473893406992,0.2900303012952542,-0.6384975438921969
Mill.const_number,0.7893933970712298,-0.10328870913335203,-0.16570186655350613,-0.575647773935843,-0.6190879066839938,0.6885847881184595,-0.2848949907924371,0.34612324596931976,-0.3411699634647691,-0.18197443045512296
Mill.const_produced,0.5406264596967906,-0.2101173560644494,0.2485240187794648,0.45496560620850246,-0.2624099436952359,-0.6965621980966799,0.4614353162633958,-0.6214954028701927,0.36217412051526066,-0.5182689391801879
Mill.const_salaryMu,0.44294760558514784,-0.08974656359543193,-0.5901870534992621,0.27511485073061215,-0.5014867686049483,0.44343180494014717,-0.053961026616738364,-0.08012579326632158,0.24055586049907002,0.4661500282540593
Mill.const_salarySigma,-0.1795073984728493,-0.41007159838102336,-0.4428288348240306,-0.07729063468022679,0.4660337308001416,-0.08862234586864066,0.12661297057267873,0.07870073778110794,0.3919232447267049,0.1591212494241547
Mill.const_tacticsMu,0.2432173328664105,0.10903293979981314,0.5942248753641836,0.21554022148769567,-0.4104256951201485,-0.1972699337197688,0.1666532552703523,-0.08150503726700412,0.2599228077241894,-0.26185060599850773
Mill.const_tacticsSigma,0.28350986446024423,0.21965630273950404,0.15952722442968614,-0.19141664257638175,-0.16885068382479015,0.33906745297408725,-0.006539203821375915,-0.3925646067791636,0.10076773070003753,-0.07099098202970629
Mill.const_time,0.1782048085893556,0.06432203158136306,-0.07040970107099706,0.35206562501595123,0.3798733234411256,0.5748576400598654,0.048200275298180176,0.028105035457969604,0.54139627399908,0.18222180583251937
Mill.var_capitalMu,0.931021858394203,-0.6966856860334706,-0.7680178004408512,0.07128250491331084,-0.4575751425358436,-0.48769300647005437,0.626550777446406,-0.09914375886763435,0.6937170720640664,0.04659320717599024
Mill.var_capitalSigma,-0.5106822341234346,0.8502390825148715,0.10769317691632058,0.38632274251307946,0.46384408803499094,0.6360160822297208,-0.430764447828535,0.3563015418469357,0.4284965441910041,0.7444732343683315
Mill.var_employeesMu,-0.07878278460494133,0.114351055185699,0.895697786102317,0.6554159570776975,0.5067734256596466,0.28765365865929277,0.40763329604119636,0.33238395847449165,0.2083049973867901,0.1730522709414144
Mill.var_employeesSigma,-0.010587768761273934,0.25729070309276314,0.13125940782099346,0.9189486850470298,0.22596636126129216,0.48752334600490704,0.03664844766690855,-0.177419038394279,-0.36185608325215785,-0.3040810711725577
Mill.var_goodwillMu,-0.3748250310259822,-0.01339964402240468,0.15581698422345563,-0.2030643483679748,0.08636983273855685,-0.2939704682018488,-0.12423823812399742,-0.002874829471429843,0.24048911693331315,0.3538575563562286
