,OilField.var_capitalMu,OilField.var_capitalSigma,OilField.var_employeesMu,OilField.var_employeesSigma,OilField.var_goodwillMu,OilField.var_goodwillSigma,OilField.var_total_value_destroyedMu,OilField.var_total_value_destroyedSigma,OilField.var_valueProducedMu,OilField.var_valueProducedSigma
OilField.const_itersMu,0.9735303434794366,0.5466153876773412,-0.9878623886758685,0.9251946252407331,-0.9794825431417163,0.9952511318020736,0.9958149533436121,-0.6288012162207154,-0.9523375569547589,0.7939588081037481
OilField.const_itersSigma,0.4970200540785467,0.9645890419185504,0.37003756910396857,0.6241294415144613,-0.4524581387078776,-0.03268850054689872,0.42424260524750457,0.8458036611468097,-0.6540750345516964,0.9580277937512424
OilField.const_number,0.028337770713547376,0.39431877811378635,-0.11545329946753649,-0.5204044014115115,-0.7812328904910049,-0.22114542440806467,0.07469351150846554,-0.9043335925115809,-0.7689296539398476,0.5401636896569347
OilField.const_produced,0.4514650777858088,0.4551136390677584,0.24627158599399704,0.2616400394107542,0.17226739998452748,0.37275993133776986,0.37369039301001955,0.2527812923796966,0.4720364669714456,0.4374036481994528
OilField.const_required,-0.5988491994509031,0.33782706590331635,-0.5276545594351522,0.7883484280532773,-0.15833992934603494,0.7513900159718319,-0.3680577457789293,0.580749988731438,-0.10979576606465904,-0.275509254840805
OilField.const_salaryMu,0.014590501492014319,-0.37609671566612934,-0.18029057705416313,0.02730006226424017,0.6891349223918439,-0.5419785809570006,0.1658123273739591,0.5555824144737913,0.7115741438835177,-0.17368882141511355
OilField.const_salarySigma,0.8564489446407516,-0.2470658597964025,-0.27905252089906596,-0.6052977534960564,0.036469311806355126,0.7993352885158448,0.503252893248982,-0.5192629941627178,0.3259334207266215,0.26791281140940615
OilField.const_tacticsMu,-0.23722591624222839,-0.2853135106248243,-0.476512642747735,-0.009143692439083206,-0.4731627918159799,0.42339998099405046,-0.227270637104551,-0.14603776641690636,-0.22199528868719293,0.48673194941894243
OilField.const_tacticsSigma,0.09076686277314583,0.048653860781616175,-0.07648313999718355,-0.2471262056109712,-0.15035768347601672,-0.34140848618851827,-0.5369295928203051,0.36555593037313294,0.024942159196777797,0.1549369111457068
OilField.const_time,-0.3452188565681608,-0.03827850834768386,0.012790340193566117,0.15317646485459516,0.4645301904297224,0.4165518801776172,-0.4314186368870313,0.01559454114945453,0.39510212940701805,-0.31957860691229817
OilField.var_capitalMu,0.9563986588652121,0.38994803320524685,-0.7324240129006727,0.004614355784122142,0.07352816190570088,0.587100052848738,-0.16813484008212567,-0.023381353833629707,-0.051945881624142626,0.666626684348136
OilField.var_capitalSigma,0.16032163875904926,0.8322915313017181,-0.5276880082008193,0.8464656942732617,-0.23547955492887468,0.5429320960856092,0.4994801013849011,-0.45283053054419664,0.15329067723876386,0.5357311155663085
OilField.var_employeesMu,-0.21795731446971256,0.24180307628548098,0.9194406388918097,0.35902574417760613,0.34809513551470744,0.20682142880633783,0.17448301360540666,0.4528998655500099,0.4071106686196963,-0.028732409275522317
OilField.var_employeesSigma,0.027293297005425918,0.6999217542137792,-0.038527057574544395,0.873842956871119,-0.03748808388821887,-0.06644723522727344,0.17095253825996978,0.08627893713598907,-0.5599986141640992,-0.28465148649889904
OilField.var_goodwillMu,0.04693308360270213,-0.03037513025519547,0.09527400394057325,0.1786145376360795,0.12458924367495412,-0.12732479912260036,-0.35183651206451844,-0.34839461293251134,0.537281555963428,0.033654818753562625
OilField.var_goodwillSigma,0.0037222316602903045,0.011207869599187213,0.059113333307364846,-0.17508099439321273,-0.07910591174420362,0.1980308601954074,-0.04399718164135117,0.6718682745931734,-0.14010063264611874,0.5140370440497561
OilField.var_total_value_destroyedMu,-0.04248465047731324,0.07892789670535061,0.013240780760960915,0.06177367445386267,-0.1398021183981655,-0.02915082222611926,0.944627973410819,-0.23582181362258967,-0.06395498947651529,0.10206589725224316
OilField.var_total_value_destroyedSigma,0.09410086820751316,-0.09755553290417229,-0.05299008828568119,-0.15352391645166852,0.15426882928849506,-0.03371400935235927,-0.05526444097239322,0.9458654823170001,-0.1340897114927222,0.13719630442219127
OilField.var_valueProducedMu,-0.002429462102142759,-0.140825340062657,0.23820885457430785,-0.2457212778090462,0.7643721080967097,0.5050720337749256,-0.01706588914876781,-0.0829206819280778,0.8610380240215328,0.2849838368732357
OilField.var_valueProducedSigma,-0.049723185291213015,0.2837952310927455,-0.006820675961745161,0.1370456819989583,-0.21683585601620253,0.4485902573481312,0.06222700937217939,0.05632472402310791,-0.07592420958340444,0.7701082256820683
Person.var_capitalMu,-0.0016465447941274908,0.015254219325810876,-0.06961445554040933,0.037499361232364206,-0.11970887245408612,-0.059312248344019,0.05950273498237755,0.046932636940352684,-0.050987767857438554,-0.03072366915592765
Person.var_capitalSigma,-0.03021136466057408,0.03358972797789177,0.021048710797105952,0.061294106052475233,0.20104098122270186,-0.021152999731279622,-0.16218400226901952,-0.0632080221084289,-0.017898130773914413,0.1513601858006465
Person.var_happinessMu,0.02568902545469601,0.04733040012990218,0.0398090794287281,0.022938148636880835,0.05059165300790164,0.183531374959497,-0.0026751436351514497,0.04558919502468494,0.039052175144937556,-0.006738612980501226
Person.var_happinessSigma,0.02355290543681192,0.01340626795239946,0.10089066594955318,-0.053457805117809336,-0.030459066761245462,0.16908742287942072,-0.007267224830695972,-0.014941823785417016,-0.003118809161974304,-0.030742427848632344
Person.var_salaryMu,-0.0032426003604182287,-0.02897562940271732,0.08870736279620663,-0.01525076852599931,0.06948613093723588,0.089844694416904,-0.009440309965211429,-0.09626064022487102,0.022591646585846396,0.09550084647318892
Person.var_salarySigma,-0.016040899439532748,-0.11269999075236214,0.014031376088157105,-0.08018803693834721,-0.03389313239004845,0.006679541305796754,-0.04985332602477539,0.038174130520801146,0.025930145077883618,-0.05586855405820195
Person.var_total_value_destroyedMu,0.008110156815417009,0.09270793145867577,-0.16955155396527072,0.03806863690218684,-0.0995601307692026,-0.03967107674357191,0.04485876264837678,0.009502632823971147,0.08165573707695299,-0.0047139440290038526
Person.var_total_value_destroyedSigma,0.05673812678271516,-0.1564716058589271,0.09214774218308311,-0.11157802891597253,-0.08664567913054808,-0.038753589644261156,0.06932329945136739,0.0612597456794589,-0.0014424239433462288,-0.03629606551118003
