,Person.var_capitalMu,Person.var_capitalSigma,Person.var_happinessMu,Person.var_happinessSigma,Person.var_salaryMu,Person.var_salarySigma,Person.var_total_value_destroyedMu,Person.var_total_value_destroyedSigma
Person.const_buyBeef,0.9936924788518692,-0.9972291584048469,0.9563567460919391,0.9914874439264642,-0.824121158071423,0.9915216113436223,-0.9735755464764644,0.9794177458988896
Person.const_buyBread,-0.34926389914537853,-0.45903187247267513,-0.8506626167981718,0.8427310740307654,-0.789873677323483,-0.3977995523378471,0.4870898584747763,-0.9652778689587936
Person.const_buyFlour,-0.9154122020180879,-0.5903261016712577,-0.6811937590644286,0.7847331810731764,0.881813372541346,-0.8095024272566217,0.5618752800380812,0.43290955630080147
Person.const_buyFuel,0.6802594169442017,0.1868720687189827,-0.39150513069756904,-0.2884994001493552,0.006158634603891765,0.918601915365983,-0.31912537281218273,0.32274155532647814
Person.const_buyLand,0.5001399148430024,-0.0028836887257606358,0.46142393760441913,0.28002671620649855,-0.4364951044468481,-0.3683606198001246,0.35205694411403743,0.7437094181633773
Person.const_buyMu,-0.11344050618093289,0.4286493472823458,0.7901904831746586,0.3231642890863523,0.5294320413228755,-0.053872476876531246,0.16447279071213328,-0.28198352721661396
Person.const_buyOil,-0.2871172502186758,0.0056391015485072055,0.7845674549092742,-0.043796250485015856,-0.1830948537989851,-0.4659432000775606,-0.12560272809120585,-0.2589824539546401
Person.const_buySigma,-0.17690141858858677,-0.13972466509006917,-0.08470895420464378,0.4652933940831907,0.2685789715875503,0.13028059202852202,0.6980937660925606,-0.09249788925509747
Person.const_buyWheat,0.3032976491508604,0.12273119845115828,0.010868416975105733,0.2895620279906542,-0.4537781400555139,-0.31453970427622674,-0.4760478824334182,0.11325678337340288
Person.const_consumeBeef,0.1273077195666023,0.7007329589519397,0.3198671321382891,-0.12371187251807182,0.09197516276047303,0.19782682937803245,0.2440024393444794,0.12500938698031874
Person.const_consumeBread,-0.28604455871496254,-0.13816922847376478,-0.029184982805291085,-0.05005205237941086,-0.33446568863041914,-0.061206960767778956,-0.3451652653158915,0.30839891318829843
