,Refinery.var_capitalMu,Refinery.var_capitalSigma,Refinery.var_employeesMu,Refinery.var_employeesSigma,Refinery.var_goodwillMu,Refinery.var_goodwillSigma,Refinery.var_total_value_destroyedMu,Refinery.var_total_value_destroyedSigma,Refinery.var_valueProducedMu,Refinery.var_valueProducedSigma
Refinery.const_consumed,-0.9655269969605238,0.9875245568449758,-0.9526411870115779,-0.8030579059658831,0.13824402592925658,0.8704544035435345,0.9985433056526452,0.9322794968554545,0.9857205885811734,0.409140722111871
Refinery.const_itersMu,-0.3176262077297661,-0.4005499684579306,-0.7173373150692587,-0.17492144238233084,-0.9866242098388737,-0.5469527949907644,-0.47432089761114793,-0.9490758701858373,-0.2946985090915429,-0.8262119999971667
Refinery.const_itersSigma,-0.5240085316136255,0.39492310782759205,0.8612290980926689,0.9562827986024649,-0.4329031053239988,-0.6808739230734835,-0.1384333649195223,-0.36801051021396913,-0.1974238967305828,0.36870222036666805
Refinery.const_number,0.22705165307518085,-0.20652969688710518,0.11035900610633789,-0.2862362089770302,-0.32659076666910547,-0.7091301094987073,-0.359471282398051,-0.5711876952781181,-0.5816735620338165,0.805187084544833
Refinery.const_produced,-0.4317982192112235,0.6803364034056412,0.040087328398978744,0.062331651097903056,0.11156052169308674,-0.4261933153464286,0.05695657598959774,0.11741662423770838,-0.05616508006134178,0.551807090250695
Refinery.const_salaryMu,-0.04550168761156463,-0.361193964790243,-0.32567434125071343,-0.5702379056695263,-0.5264332125249532,-0.35430210738187573,-0.02492060566460259,-0.3064879340761978,-0.07331998942523568,-0.03446016449918723
Refinery.const_salarySigma,-0.3079331856212245,-0.12442544849441059,-0.03315228529877746,0.022872893732106263,-0.11356103299217112,-0.6269008462139981,0.4092487450126955,-0.5243173955718067,0.03534745786803326,-0.04639557904095602
Refinery.const_tacticsMu,-0.6509808758655112,0.584217315595337,0.3548965028214693,0.496658576952684,0.2024546217878672,0.17828618136815272,0.0872718593214896,0.49843919657330044,0.22367235457843765,-0.2555621521781341
Refinery.const_tacticsSigma,-0.6298026938553817,0.5980192308522169,0.5657224957332099,0.4966272294319797,0.22561222129329495,0.03225737021027852,0.3046625602221463,-0.4723696752250538,0.3940002571049901,0.07815832468403217
Refinery.const_time,0.1265450123272974,-0.1873036402889059,0.283957045565823,-0.146837080627605,0.2529024309420073,-0.08596982592078432,0.039145484833153735,-0.0016525773949586369,-0.08966881450074612,0.5450925217642515
Refinery.var_capitalMu,0.6561357821027779,-0.6614955693026906,-0.4744404827673945,-0.7780435601204629,-0.6338498329328435,-0.429369748099841,0.10429322496561297,-0.1002537113257192,-0.34335049134623563,-0.29099978915998453
Refinery.var_capitalSigma,-0.4298791684536687,0.7696877404088345,-0.3689617227922303,-0.07205933962101733,0.3361492199841086,0.710535624288326,0.07485012321100291,-0.27776960972441145,0.3844444843926041,-0.4476795061544228
Refinery.var_employeesMu,-0.02555491678046903,0.13447254156327862,0.7242433666381504,0.5855472155278886,0.5705104224231297,0.37180064860408846,-0.10531009965973401,0.15988323949805677,0.10669379608518585,0.24867981121754923
Refinery.var_employeesSigma,-0.11258570018593816,-0.05262641337294023,0.8362949154361008,0.6447165907451178,0.30969472852474483,0.1304303560077222,0.08101230386586185,0.17058403845009837,0.15848124534529873,0.3920642281511185
Refinery.var_goodwillMu,-0.4860237687507315,-0.08868285048732487,0.2949616591401737,0.2424976304099121,0.1977628456226713,0.02402587819458505,0.27303161677479787,-0.29360033560299487,0.055759173739941915,-0.18074340643394804
Refinery.var_goodwillSigma,0.3257558795703683,-0.1062687503079111,-0.1350834893885383,-0.03909616041645139,0.1703955567287577,0.11956656283427457,-0.28899976128727006,0.17059964793299262,-0.19189561584425066,0.5174688151688072
Refinery.var_total_value_destroyedMu,-0.0075040741629420525,-0.13842097834318348,0.09429597932628785,-0.11347807937917175,0.042061132718874426,0.1555075849914338,0.911814417143973,0.6506985888618938,0.2783774709888705,-0.11947887228042506
Refinery.var_total_value_destroyedSigma,-0.01972033339632608,0.19793348412887357,0.05275637776041958,0.2099586731204808,0.3479659151268246,0.09221232289678175,0.1714055813056363,0.8487921193091786,0.25085041553637655,0.16164200457048422
