const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,19838.976035704356,0.0,0.0,537.0628688207853,0.0
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.167481935729763E7,1.0,615508.3333333333,537.0628688207853,0.0
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.376870669063096E7,1.0,6010002.111111112,8495604.285091044,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.6260347023964297E7,1.0,5243468.888888889,1.4993121618424378E7,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.131566469063096E7,1.0,2781435.5555555555,2.5654116062868826E7,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.9245810023964297E7,1.0,4012452.222222222,3.198352039620216E7,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.3735263690630965E7,1.0,7241018.777777777,4.047858761842438E7,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.0788133023964293E7,1.0,4778985.444444445,5.113958206286881E7,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.1282221690630957E7,1.0,4012452.222222222,5.763709939620215E7,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.9212367690630965E7,1.0,5243468.888888889,6.396650372953548E7,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.626550035729763E7,1.0,2781435.5555555555,7.462749817397994E7,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.075469002396429E7,1.0,6010002.111111112,8.312256539620218E7,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.12487780239643E7,1.0,5243468.888888889,8.962008272953552E7,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.374015269063096E7,1.0,2781171.2222222225,9.811514995175776E7,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.623205469063096E7,1.0,4012452.222222222,1.0661048150731333E8,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.288717202396429E7,1.0,7241018.777777777,1.1510554872953556E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.994004135729763E7,1.0,615508.3333333333,1.2160306606286886E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.587263635729763E7,1.0,4012187.888888889,1.3009813328509107E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.8364275690630965E7,1.0,5243468.888888889,1.3859346484064662E8,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.541740969063096E7,1.0,2781435.5555555555,1.4925445928509104E8,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.990660035729763E7,1.0,1846525.0,1.5358604939620212E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.58391950239643E7,1.0,5243204.555555555,1.6208111661842436E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.289206435729763E7,1.0,2781171.2222222225,1.7274211106286874E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.538396735729763E7,1.0,4012452.222222222,1.812374426184243E8,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.987315569063096E7,1.0,3077541.666666667,1.855690327295354E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-7.036724435729763E7,1.0,2781435.5555555555,1.9623002717397982E8,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-7.285861902396429E7,1.0,4012187.888888889,2.0472509439620203E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-7.535052335729763E7,1.0,5243468.888888889,2.1322042595175758E8,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-8.200564135729763E7,1.0,4778985.444444445,2.217154931739798E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-8.449727835729763E7,1.0,4012452.222222222,2.2821301050731313E8,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-8.499110335729763E7,1.0,5243204.555555555,2.367080777295354E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-8.204397002396429E7,1.0,2781171.2222222225,2.4736907217397985E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-9.197219335729763E7,1.0,6010002.111111112,2.536984765073132E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-9.446383235729763E7,1.0,5243468.888888889,2.601959938406466E8,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-8.951915135729763E7,1.0,2781435.5555555555,2.7085698828509104E8,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-9.201052602396429E7,1.0,4012187.888888889,2.7935205550731325E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.0193874902396429E8,1.0,7241018.777777777,2.8568145984064656E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-9.899161835729763E7,1.0,4778985.444444445,2.9634245428509104E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-9.948570535729763E7,1.0,4012452.222222222,3.028399716184245E8,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.0197708135729763E8,1.0,5243204.555555555,3.113350388406467E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.0446898435729763E8,1.0,2781435.5555555555,3.1983037039620227E8,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.1112410035729763E8,1.0,6010002.111111112,3.283254376184245E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.1361573902396429E8,1.0,5243468.888888889,3.348229549517579E8,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.086710590239643E8,1.0,2781435.5555555555,3.454839493962024E8,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.166012030239643E8,1.0,4012452.222222222,3.518133537295357E8,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.2109065602396429E8,1.0,7241018.777777777,3.6030842095175797E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.1814352435729763E8,1.0,4778985.444444445,3.709694153962024E8,5438769.222222223
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.1863761269063097E8,1.0,4012452.222222222,3.774669327295358E8,5438504.888888889
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.265677570239643E8,1.0,5243468.888888889,3.8379633706286913E8,7436319.111111111
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-1.236208900239643E8,1.0,2781435.5555555555,3.944573315073136E8,7436319.111111111
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,12310.54672570655,0.0,0.0,698.4899080498556,0.0
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.0579153953274293E7,1.0,1672336.5,698.4899080498556,0.0
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-6.6498833953274295E7,1.0,1672336.5,698.4899080498556,0.0
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.8417407953274295E7,1.0,1672336.5,8.954223848990805E7,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.7336534953274295E7,1.0,1672336.5,1.3431300848990804E8,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-8.06823849532743E7,1.0,1672336.5,1.4580309998990804E8,2.18600135E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-5.5575758953274295E7,1.0,1672336.5,2.2371636848990804E8,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-7.61854629532743E7,1.0,1.3162428E7,2.7990813998990804E8,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.185857529532743E8,1.0,1672336.5,3.1311972848990804E8,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-8.05043279532743E7,1.0,1672336.5,4.0266126848990804E8,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-8.94234554532743E7,1.0,1672336.5,4.4743203848990804E8,4.7000552E7
