const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,13702.0,0.0,0.0,627.6370417954047,0.0
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.49531964E8,29.25,1.461524939166667E8,503318.0537084621,0.0
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.8754786225E8,29.25,7.26218895E7,1623599.5537084623,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-6.27188206E8,29.25,2197205.25,2499717.137041795,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-8.683267125E8,29.25,8.49655595E7,3347109.553708461,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.10796705625E9,29.25,1.4540875249999998E7,4223227.137041794,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.347607202E9,29.25,9.71368785E7,4984444.053708462,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.58724754575E9,29.25,2.671219425E7,5860561.637041797,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.82838605225E9,29.25,1.094805485E8,6707954.053708465,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.068026396E9,29.25,3.905586424999999E7,7584071.6370418,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.30766654175E9,29.25,1.216518675E8,8345288.553708468,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.5473068855E9,29.25,5.122718324999999E7,9221406.1370418,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.788445392E9,29.25,1.339955375E8,1.0068798553708464E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.02808573575E9,29.25,6.357085324999999E7,1.0944916137041794E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.2677258815E9,29.25,1.4616685649999997E8,1.1706133053708458E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.50574177975E9,29.25,7.26218895E7,1.2826414553708455E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.7453821235E9,29.25,2197205.25,1.3702532137041785E7,4747053.25
