const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-6347417.731731823,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.3048377731731825E7,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.9749337731731825E7,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.6450297731731825E7,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-3.3151257731731825E7,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-3.9852217731731825E7,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-4.6553177731731825E7,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-5.3254137731731825E7,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-5.9955097731731825E7,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-6.6656057731731825E7,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-7.335701773173183E7,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-8.005797773173182E7,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-8.675893773173182E7,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-9.345989773173182E7,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.0016085773173182E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.0686181773173182E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.1356277773173182E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.2026373773173182E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.2696469773173182E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.3366565773173182E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.4036661773173183E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.4706757773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.5376853773173183E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.6046949773173183E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.6717045773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.7387141773173183E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.8057237773173183E8,1.0,3685528.0,456.8709514972724,0.0
