const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-5860040.796136411,581366.1277399459,1.0,0.0,308979.25,30516.861948560505,18.098503005791798,45.141992415393375,0.0,0.0
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.3235259796136409E7,2501426.6258626184,1.0,0.0,308979.25,30516.861948560505,8827872.848503007,5962099.882384771,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-2.391087779613641E7,3557719.4838337917,1.0,0.0,308979.25,30516.861948560505,1.9450724265169673E7,1.4460981040055333E7,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-2.379634129613641E7,2425770.003204879,1.0,0.0,2103975.916666667,3095260.461046564,3.710643376516967E7,2.632382691366689E7,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-3.447196004613641E7,3842774.688351467,1.0,0.0,7341837.333333332,4065484.9802763485,5.2967146598503E7,3.577244785467841E7,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-3.435742304613641E7,3639932.185863393,1.0,0.0,2103975.916666667,3095260.461046564,6.358999801516967E7,4.418001592610412E7,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-4.503304154613641E7,4961247.788391299,1.0,0.0,7341837.333333332,4065484.9802763485,7.945071084850301E7,5.3658656638096355E7,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-4.298104229613641E7,7379952.403059673,1.0,0.0,308979.25,30516.861948560505,9.007356226516968E7,6.205349853448507E7,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-4.810436654613641E7,8334972.565745113,1.0,0.0,308979.25,30516.861948560505,1.0593427509850302E8,7.154486542151691E7,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-5.354212304613641E7,9344114.691373412,1.0,0.0,308979.25,30516.861948560505,1.1655712651516968E8,7.99326746881166E7,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-5.866544829613641E7,1.030043691235534E7,1.0,0.0,308979.25,30516.861948560505,1.3241783934850301E8,8.94310742049385E7,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-6.410320479613641E7,1.1309233621525727E7,1.0,0.0,308979.25,30516.861948560505,1.4304069076516968E8,9.781442232366155E7,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-6.922653029613641E7,1.2266366760368958E7,1.0,0.0,308979.25,30516.861948560505,1.5890140359850302E8,1.0731728298836063E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-7.466428704613641E7,1.3274884655065613E7,1.0,0.0,308979.25,30516.861948560505,1.6952425501516968E8,1.156975491335723E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-8.158260854613641E7,1.2071267215909746E7,1.0,0.0,308979.25,30516.861948560505,1.8538496784850305E8,1.2520349177178305E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-9.225822729613641E7,1.2964828359734217E7,1.0,0.0,308979.25,30516.861948560505,1.960078192651697E8,1.3358150121108665E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-9.214369029613641E7,1.4010077799253516E7,1.0,0.0,2103975.916666667,3095260.461046564,2.1366352876516974E8,1.455044441400189E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.0281930879613641E8,1.4870637993863435E7,1.0,0.0,7341837.333333332,4065484.9802763485,2.2952424159850308E8,1.5501383974415419E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.0270477179613641E8,1.595576952213679E7,1.0,0.0,2103975.916666667,3095260.461046564,2.4014709301516974E8,1.6338918590368435E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.1338039004613641E8,1.679054803892157E7,1.0,0.0,7341837.333333332,4065484.9802763485,2.560078058485031E8,1.7290004852757698E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.1132839054613641E8,2.031861502955224E7,1.0,0.0,308979.25,30516.861948560505,2.6663065726516977E8,1.8127421715547413E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.1645171554613641E8,2.1277761058421552E7,1.0,0.0,308979.25,30516.861948560505,2.824913700985031E8,1.9078625731099987E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.2188947204613641E8,2.22852966372144E7,1.0,0.0,308979.25,30516.861948560505,2.9311422151516974E8,1.991594599050711E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.2701279679613641E8,2.324456810734979E7,1.0,0.0,308979.25,30516.861948560505,3.0897493434850305E8,2.0867246609442273E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.3245055354613641E8,2.425201679389012E7,1.0,0.0,308979.25,30516.861948560505,3.195977857651697E8,2.1704486186804256E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.375738780461364E8,2.521139178999499E7,1.0,0.0,308979.25,30516.861948560505,3.3545849859850305E8,2.2655867487784567E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.430116350461364E8,2.62187659096519E7,1.0,0.0,308979.25,30516.861948560505,3.460813500151697E8,2.349303866813404E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.499299565461364E8,2.4911063127279967E7,1.0,0.0,308979.25,30516.861948560505,3.6194206284850293E8,2.444448836612686E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.606055750461364E8,2.5669113450884547E7,1.0,0.0,308979.25,30516.861948560505,3.7256491426516956E8,2.528160082717449E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.604910377961364E8,2.687131180612706E7,1.0,0.0,2103975.916666667,3095260.461046564,3.9022062376516956E8,2.647398000775399E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.711666565461364E8,2.762050042951271E7,1.0,0.0,7341837.333333332,4065484.9802763485,4.0608133659850293E8,2.742552316336402E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.710521192961364E8,2.883246929230031E7,1.0,0.0,2103975.916666667,3095260.461046564,4.1670418801516956E8,2.826255427465666E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.817277380461364E8,2.9573945517855924E7,1.0,0.0,7341837.333333332,4065484.9802763485,4.325649008485028E8,2.9214144041706324E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.796757387961364E8,3.326583453742094E7,1.0,0.0,308979.25,30516.861948560505,4.4318775226516944E8,3.0051134090043133E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.847990632961364E8,3.4225747208748914E7,1.0,0.0,308979.25,30516.861948560505,4.590484650985028E8,3.1002764920048624E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.902368200461364E8,3.523270722257607E7,1.0,0.0,308979.25,30516.861948560505,4.6967131651516944E8,3.183971851886377E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-1.953601450461364E8,3.6192652607323684E7,1.0,0.0,308979.25,30516.861948560505,4.8553202934850276E8,3.279138579839093E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-2.007979015461364E8,3.719958420452839E7,1.0,0.0,308979.25,30516.861948560505,4.961548807651694E8,3.362830682499617E8,6878773.984649122,4078028.063990962
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-2.059212262961364E8,3.8159559220600866E7,1.0,0.0,308979.25,30516.861948560505,5.120155935985027E8,3.458000667673323E8,7489755.083333332,4337583.074945784
13.0,3.91677859255688,19.869342251564248,4.0,6.0,14707.153425306264,383482.22636119777,2.0,-2.113589822961364E8,3.916646507683352E7,1.0,0.0,308979.25,30516.861948560505,5.226384450151693E8,3.541689842101613E8,6878773.984649122,4078028.063990962
