gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
-244046.32717211155,2.903636634444444E8,-13066.331770434323,1993.8949177009906,290619.875,0.0
-244046.32717210526,1.4544317854166666E8,-19223.95692926532,40504.973989455495,3010221.513888889,0.0
-244046.32717210025,1492258.375,-21655.705340955312,-14428.377362235547,2908391.330774854,0.0
-244046.32717212377,1.6976464640277776E8,-23722.371160523293,122155.2796601849,3010221.513888889,0.0
-244046.3271721071,2.668670313888889E7,-25026.982342225932,272525.17442686204,2908391.330774854,0.0
-244046.3271722024,1.9439457540277776E8,-25259.84384159064,313789.1712004852,3010221.513888889,0.0
-244046.32717205942,5.070900488888889E7,-26366.83875899849,518344.50116303394,2908391.330774854,0.0
-244046.32717212697,2.1811771104166666E8,-27561.852736126853,599696.318103554,2908391.330774854,0.0
-244046.32717208078,7.416679087500001E7,-28190.04968657155,781424.4100625366,3010221.513888889,0.0
-244046.32717219286,2.421400127916667E8,-27216.153879710044,728111.1154011739,2908391.330774854,0.0
-244046.32717218998,9.818909262500001E7,-28290.747272340297,798399.0684380945,3010221.513888889,0.0
-244046.32717227685,2.6676994179166663E8,-28880.560487079838,1030877.1713787653,2908391.330774854,0.0
-244046.32717217563,1.22211394375E8,-29242.521096990884,1150805.0747533941,3010221.513888889,0.0
-244046.32717203835,2.907922435416667E8,-29737.85527742292,1249359.0665196208,2908391.330774854,0.0
-244046.32717209467,1.456457209583333E8,-29474.75743752455,1418106.7726619358,3010221.513888889,0.0
-244046.3271721824,1087173.5416666667,-29478.39911477994,1313111.4182320735,2908391.330774854,0.0
-244046.3271720502,1.6996718881944442E8,-28529.8235112221,1711724.3050180804,3010221.513888889,0.0
-244046.32717217467,2.688924555555556E7,-29000.867983903216,1960192.4403980908,2908391.330774854,0.0
-244046.3271722403,1.9398949056944445E8,-28361.134819989595,1992779.5519591721,3010221.513888889,0.0
-244046.32717229874,5.091154730555555E7,-27712.733295211983,2151649.6166100632,2908391.330774854,0.0
-244046.32717210404,2.183202534583333E8,-28545.42325709251,2142965.903624802,2908391.330774854,0.0
-244046.32717189577,7.376170604166667E7,-28707.648161793917,2164373.973511519,3010221.513888889,0.0
-244046.3271718836,2.4234255520833334E8,-29718.643079201767,2317453.9407518725,2908391.330774854,0.0
-244046.32717192936,9.839163504166669E7,-29934.20216433526,2432627.7721705264,3010221.513888889,0.0
-244046.3271716506,2.663648569583333E8,-29402.42833968461,2542207.3793820483,2908391.330774854,0.0
-244046.32717188215,1.2241393679166667E8,-29672.015379074743,2690951.3369237855,3010221.513888889,0.0
-244046.32717225834,2.909947859583334E8,-29804.91499788029,2764800.664825625,2908391.330774854,0.0
-244046.32717201597,1.45240636125E8,-28298.18310461474,2974787.2439360544,3010221.513888889,0.0
-244046.32717179472,1289715.9583333335,-27578.890855567748,3030326.5822692774,2908391.330774854,0.0
-244046.32717199787,1.7016973123611107E8,-28346.44231681296,3035886.349291448,3010221.513888889,0.0
-244046.32717253658,2.6484160722222224E7,-28153.854006774887,3108932.846546048,2908391.330774854,0.0
-244046.32717210328,1.941920329861111E8,-29282.7968276135,3128743.4447373427,3010221.513888889,0.0
-244046.32717245986,5.111408972222222E7,-28950.806992797778,3419458.8673147447,2908391.330774854,0.0
-244046.32717203,2.17915168625E8,-28661.773955948953,3548908.46873311,2908391.330774854,0.0
-244046.32717191963,7.396424845833334E7,-29105.63164336954,3730862.696385395,3010221.513888889,0.0
-244046.327172092,2.42545097625E8,-29341.42579838857,3788530.0945734167,2908391.330774854,0.0
-244046.3271719998,9.798655020833334E7,-28979.552863191646,4068501.950044748,3010221.513888889,0.0
-244046.32717199088,2.6656739937499997E8,-29411.108136380957,3991539.7200499107,2908391.330774854,0.0
-244046.32717230206,1.2261647920833334E8,-29060.401656075996,4263905.287167217,3010221.513888889,0.0
-244046.3271722946,2.90589701125E8,-29060.64943244192,4349372.8409844,2908391.330774854,0.0
-224310.7465403286,8.254686832000001E7,22.985304227073378,49929.04044244762,1706364.6,0.0
-224310.74654034487,1.3743395444000003E8,22.985304227073378,159151.04628356898,3739761.48,0.0
-224310.74654036295,1.8299131508E8,22.985304227073378,327776.88623684016,5773748.76,0.0
-224310.7465403696,8999739.0,22.985304227073378,486834.30679758784,5773748.76,0.0
-224310.7465403942,5.5642269E7,22.985304227073378,596056.31263871,5773748.76,0.0
-224310.74654033783,1.0849595824E8,22.985304227073378,705295.5614704858,5773748.76,0.0
-224310.7465403753,1.6188133396000007E8,22.985304227073378,923739.5731527287,5773748.76,0.0
-224310.7465402336,2.0861278232000002E8,22.985304227073378,1032978.8219845043,5773748.76,0.0
