gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
2830.3983851956677,0.0,8.999999999999995,68.50031808214243,0.0,1.0
-1376479.9464423906,2.980050978333334E7,-15856.960000000001,13935.822157162604,17235.1,0.0
-1376479.9464424031,1.5635524566666666E7,-19758.104,300825.641867194,1782461.1333333335,0.0
-1376479.9464423964,1971684.5333333332,-19812.48799999999,644954.3441676281,1782421.4833333334,0.0
-1376479.9464423808,1.788801198333333E7,-18305.952,1168887.8363079783,1782421.4833333334,0.0
-1376479.9464423999,3719689.2333333334,-20003.887999999995,1252037.8916715586,2082093.6166666667,0.0
-1376479.9464423913,2.1259251666666664E7,-21256.48799999999,1527089.49886688,1782461.1333333335,0.0
-1376479.9464423978,6536971.416666667,-17839.472000000005,2560078.0391476876,1782461.1333333335,0.0
-1376479.9464423738,2.2707623883333337E7,-18118.775999999998,2230472.953119835,1782421.4833333334,0.0
-1376479.9464423887,9343416.33333333,-18992.447999999986,3444797.1467979704,2082093.6166666667,0.0
-1376479.9464423393,2.5225273583333332E7,-18847.784000000003,3879947.538430372,2082093.6166666667,0.0
-1376479.9464423817,1.1356583316666665E7,-18581.863999999998,3737129.928899918,1782461.1333333335,0.0
-1376479.9464424087,2.8331350983333334E7,-19093.4,4001374.471751034,1782421.4833333334,0.0
-1376479.946442355,1.3609031083333334E7,-18868.736000000004,4718760.548191212,1782461.1333333335,0.0
-1376479.9464424239,3.004488548333333E7,-20381.0,4492577.865162259,2082093.6166666667,0.0
-1376479.9464423605,1.6356253866666667E7,-19718.22399999999,4285136.127318487,1782461.1333333335,0.0
-1376479.9464423875,1009452.0499999999,-20926.423999999995,5187679.600308068,1782461.1333333335,0.0
-1376479.9464424357,1.7804586433333334E7,-17610.88799999999,7040810.398540839,1782461.1333333335,0.0
-1376479.9464424073,4440418.533333333,-19734.672000000002,7296230.3931265175,2082093.6166666667,0.0
-1376479.9464423566,2.032227578333333E7,-18193.127999999997,7825806.109786129,2082093.6166666667,0.0
-1376479.94644242,5829063.949999999,-14517.664000000006,9696860.654262587,1782461.1333333335,0.0
-1376479.9464424155,2.342831353333333E7,-13591.943999999996,9878551.938889612,1782461.1333333335,0.0
-1376479.9464425095,8706033.283333331,-15466.199999999999,1.02581826007615E7,1782461.1333333335,0.0
-1376479.946442346,2.5141887683333337E7,-15371.672000000008,1.121316529561647E7,2082093.6166666667,0.0
-1376479.9464423577,1.1452791049999999E7,-16909.27199999999,1.0810893673970807E7,1782461.1333333335,0.0
-1376479.9464424253,2.7694007583333332E7,-14561.52,1.1337676760416294E7,1782421.4833333334,0.0
-1376479.9464423985,1.3525645183333332E7,-18392.568,1.156014189365281E7,1782461.1333333335,0.0
-1376479.9464424807,3.0765614783333328E7,-18785.440000000006,1.12005560957398E7,2082093.6166666667,0.0
-1376479.946442388,1.5718910466666669E7,-13842.151999999998,1.3175928043051502E7,1782461.1333333335,0.0
-1376479.9464425487,1250955.2333333334,-12729.311999999998,1.3535960610719277E7,1782421.4833333334,0.0
-1376479.9464423598,1.852531573333333E7,-14111.144,1.3946086882478828E7,1782461.1333333335,0.0
-1376479.946442316,3803035.483333333,-14139.504,1.466347020994064E7,1782461.1333333335,0.0
-1376479.9464424765,2.0538522366666667E7,-10730.808,1.5477312445406174E7,1782461.1333333335,0.0
-1376479.9464423307,6874682.333333334,-14288.072000000002,1.5449486031993393E7,1782421.4833333334,0.0
-1376479.9464424374,2.279100978333333E7,-12666.936,1.587909009077194E7,1782421.4833333334,0.0
-1376479.9464423736,8622647.383333331,-12603.392,1.692267244710872E7,1782461.1333333335,0.0
-1376479.9464425247,2.6162249466666665E7,-11870.264000000001,1.6481320992449522E7,1782461.1333333335,0.0
-1376479.9464424425,1.1439969216666667E7,-13817.48,1.6970049861993812E7,1782461.1333333335,0.0
-1376479.9464423412,2.7610621683333337E7,-12259.864000000001,1.8472879345528934E7,1782421.4833333334,0.0
-1376479.9464425007,1.4246374483333332E7,-11530.256000000003,1.8779210419212427E7,1782461.1333333335,0.0
-1376479.9464421854,3.0128271383333325E7,-12227.896,1.8033426971580744E7,2082093.6166666667,0.0
-1376479.9464424914,1.5635524566666666E7,-11962.336000000005,1.9470664127393782E7,1782461.1333333335,0.0
-1376479.946442435,1971684.5333333332,-10394.104000000003,2.0947009534340013E7,1782421.4833333334,0.0
-1376479.9464425396,1.788801198333333E7,-10068.264,2.1345977803150516E7,1782421.4833333334,0.0
-1376479.9464426157,3719689.2333333334,-11049.255999999996,2.1644610830699738E7,2082093.6166666667,0.0
-1376479.9464424157,2.1259251666666664E7,-10706.208000000002,2.2036477040404387E7,1782461.1333333335,0.0
-1376479.9464424786,6536971.416666667,-8930.303999999998,2.219572554970154E7,1782461.1333333335,0.0
-1376479.9464424392,2.2707623883333337E7,-9179.271999999999,2.2389149535992607E7,1782421.4833333334,0.0
-1376479.9464425615,9343416.33333333,-7866.816000000001,2.3144003703126486E7,2082093.6166666667,0.0
-1376479.9464423372,2.5225273583333332E7,-8893.648000000005,2.37307095496428E7,2082093.6166666667,0.0
2008.9693146206807,0.0,54.00104497889942,51.39835459946755,0.0,1.0
-1127934.5335102384,1.019286467857143E8,54.00104497889942,51.39835459946755,3101364.6428571427,0.0
-1127934.5335102584,2.3404608142857146E7,54.00104497889942,490662.75428680284,9497188.92857143,0.0
-1127934.533510243,6.719541128571428E7,166.64521675804062,2650382.7232133546,1.6211553500000002E7,0.0
-1127934.5335102612,1.0439757628571428E8,250.24030878258057,3815217.02876891,1.6211553500000002E7,0.0
-1127934.5335102458,2.5046507071428575E7,277.1360143040529,4580340.794964764,1.4054732E7,0.0
-1127934.5335102524,6.573594557142857E7,352.98264007092376,6314387.389880021,1.7157803E7,0.0
-1127934.5335102058,1.0602685571428573E8,465.57159712613844,8057327.025473241,1.7157803E7,0.0
-1127934.5335101597,2.3587041357142862E7,519.5470572488377,9367736.734432077,1.736456064285714E7,0.0
-1127934.5335102233,6.737784449999999E7,620.774051113869,1.14254979082416E7,1.785299514285714E7,0.0
-1127934.5335102666,1.0685434357142857E8,699.731106328593,1.278752462151844E7,1.785299514285714E7,0.0
-1127934.5335102652,2.522894028571429E7,805.5838670647895,1.4335017590444993E7,1.785299514285714E7,0.0
-1127934.533510233,6.591837878571428E7,882.792456021845,1.56134606243433E7,1.7157803E7,0.0
-1127934.53351023,1.070363195E8,902.5715971261394,1.6728036993592693E7,1.7157803E7,0.0
-1127934.5335104195,2.3769474571428575E7,1040.7004314819676,1.868678040400431E7,1.4054732E7,0.0
-1127934.533510318,6.75602777142857E7,1133.5838670647881,2.0598764535360247E7,1.785299514285714E7,0.0
-1127934.5335103944,1.0703677678571428E8,1191.3691431384075,2.1827229724625785E7,1.785299514285714E7,0.0
-1127934.5335103604,2.5411373500000004E7,1242.5531922181622,2.2941334814550452E7,1.785299514285714E7,0.0
-1127934.5335101918,6.610081199999999E7,1309.436627800984,2.4187304929428034E7,1.7157803E7,0.0
-1127934.533510149,1.0721875271428572E8,1416.8660756537438,2.596485924540866E7,1.7157803E7,0.0
-1127934.5335101373,2.3951907785714287E7,1513.6084069420876,2.7619102546377182E7,1.4054732E7,0.0
-1127934.5335101248,6.774271092857142E7,1628.7801860831923,2.963573781048661E7,1.785299514285714E7,0.0
-1127934.5335102957,1.0721921E8,1668.2955235065053,3.0699403431782078E7,1.785299514285714E7,0.0
-1127934.5335102812,1.9391077428571433E7,1734.0869345494498,3.1973022411537256E7,1.785299514285714E7,0.0
-1127934.5335101364,6.628324521428571E7,1843.1973639973023,3.3538450240162488E7,1.785299514285714E7,0.0
-1127934.5335104903,1.0740118592857143E8,1914.7617811752168,3.5012139663891315E7,1.7157803E7,0.0
-1127934.5335103236,2.4134341000000004E7,1990.3568731997566,3.661177001982353E7,1.4054732E7,0.0
-1127934.5335101746,6.792514414285713E7,2087.086934549451,3.845885380795913E7,1.7157803E7,0.0
-1127934.5335103078,1.0740164321428572E8,2170.706566451293,3.9907906495812245E7,1.785299514285714E7,0.0
-1127934.5335102016,1.9573510642857146E7,2232.1850940586546,4.113700496756366E7,1.785299514285714E7,0.0
-1127934.5335102873,6.6465678428571425E7,2305.8844805617227,4.2445860384230316E7,1.785299514285714E7,0.0
-1127934.5335100004,1.0758361914285715E8,2370.651351727367,4.388984886122789E7,1.7157803E7,0.0
-1127934.5335099576,2.4316774214285716E7,2456.0133149175517,4.545931426728116E7,1.4054732E7,0.0
-1127934.533510466,6.810757735714285E7,2558.283253567859,4.739054073314073E7,1.7157803E7,0.0
-1127934.5335104577,1.0758407642857143E8,2614.3139284144845,4.862921710174444E7,1.785299514285714E7,0.0
-1127934.5335103646,2.2857308500000004E7,2713.3139284144845,5.042264903112297E7,1.785299514285714E7,0.0
-1127934.5335104186,6.3546747E7,2812.1482842427054,5.2152230348919585E7,1.785299514285714E7,0.0
-1127934.5335100833,1.0776605235714287E8,2850.2157689052824,5.293712927971054E7,1.785299514285714E7,0.0
-1127934.533510142,2.4499207428571433E7,2897.4979774942394,5.425988360731345E7,1.4054732E7,0.0
-1127934.5335104857,6.829001057142857E7,3007.8047259604973,5.624381736663547E7,1.7157803E7,0.0
-1127934.5335100796,1.04665145E8,3091.933560316325,5.771562896833039E7,1.7157803E7,0.0
-1127934.53351006,2.3039741714285716E7,3174.5102474328887,5.934799403488946E7,1.785299514285714E7,0.0
-1127934.5335103879,6.372918021428571E7,3275.0133149175513,6.115669901511544E7,1.785299514285714E7,0.0
-1127934.5335104633,1.0794848557142858E8,3313.614541911416,6.189771072038851E7,1.785299514285714E7,0.0
-1127934.5335101876,2.4681640642857146E7,3384.405952954361,6.3356044584795296E7,1.4054732E7,0.0
-1127934.5335102873,6.847244378571428E7,3434.657486696693,6.4871004182374E7,1.7157803E7,0.0
-1127934.533509844,1.0484757821428572E8,3563.007179948227,6.662286789835462E7,1.7157803E7,0.0
-1127934.5335101727,2.3222174928571433E7,3660.8354008071224,6.834381191247891E7,1.785299514285714E7,0.0
-1127934.5335100684,6.701297807142857E7,3759.369143138411,7.034401799157494E7,1.785299514285714E7,0.0
-1127934.5335099837,1.0421514307142858E8,3866.12987933473,7.173018827217758E7,1.785299514285714E7,0.0
1332.0689938036232,0.0,38.89856957903688,76.68633908117118,0.0,1.0
-979060.0878689449,9.707710638235296E7,-6835.673622934328,11362.487809669403,425635.94117647054,0.0
-979060.0878689394,1.2258755949999999E8,-9372.523890314005,156761.86280966943,1319156.5588235294,0.0
-979060.0878689324,1.545197038235294E7,-9273.165601543957,768570.4289861403,7093745.205882353,0.0
-979060.0878689291,3.580182614705882E7,-9867.539933094757,1047846.225729838,1.1538500294117646E7,0.0
-979060.0878689401,6.372203552941177E7,-7539.860788709733,2792186.5774981747,1.0644979676470589E7,0.0
-979060.0878690047,8.254796085294119E7,-8487.630842185674,3314121.742564202,1.1538500294117646E7,0.0
-979060.0878689773,1.105295390882353E8,-7498.951697800644,4813745.520897907,1.1538500294117646E7,0.0
-979060.0878689411,1.3045375891176468E8,-6963.823355554655,5569372.0558243785,1.1538500294117646E7,0.0
-979060.0878689244,2.108107288235294E7,-7816.737794057331,7599364.068692027,7093745.205882353,0.0
-979060.0878689624,4.366802555882353E7,-7974.352767319362,5796550.08854251,1.1538500294117646E7,0.0
-979060.0878690107,7.112035026470587E7,-9029.839398335407,8017417.876021624,1.1538500294117646E7,0.0
-979060.0878689187,9.528455129411766E7,-9593.876831490485,1.0353055317875024E7,1.0644979676470589E7,0.0
-979060.0878688215,1.1829212091176473E8,-8324.29394378995,1.0234504901829092E7,7093745.205882353,0.0
-979060.0878689247,3134875.264705882,-9063.176296731126,1.2944773280666811E7,1.1538500294117646E7,0.0
-979060.087868954,3.118436920588235E7,-9999.769879618814,1.0593878952590186E7,7093745.205882353,0.0
-979060.0878688314,5.195986091176471E7,-7542.866136303313,1.2803228411890551E7,1.1538500294117646E7,0.0
-979060.087868978,7.941218561764705E7,-7701.4062432551855,1.1956315007013598E7,8875767.44117647,0.0
