gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu
-1376479.94644239,29800509.7833333,-15856.96,13935.8221571626,17235.1
-1376479.9464424,15635524.5666667,-19758.104,300825.641867194,1782461.13333333
-1376479.9464424,1971684.53333333,-19812.488,644954.344167628,1782421.48333333
-1376479.94644238,17888011.9833333,-18305.952,1168887.83630798,1782421.48333333
-1376479.9464424,3719689.23333333,-20003.888,1252037.89167156,2082093.61666667
-1376479.94644239,21259251.6666667,-21256.488,1527089.49886688,1782461.13333333
-1376479.9464424,6536971.41666667,-17839.472,2560078.03914769,1782461.13333333
-1376479.94644237,22707623.8833333,-18118.776,2230472.95311983,1782421.48333333
-1376479.94644239,9343416.33333333,-18992.448,3444797.14679797,2082093.61666667
-1376479.94644234,25225273.5833333,-18847.784,3879947.53843037,2082093.61666667
-1376479.94644238,11356583.3166667,-18581.864,3737129.92889992,1782461.13333333
-1376479.94644241,28331350.9833333,-19093.4,4001374.47175103,1782421.48333333
-1376479.94644236,13609031.0833333,-18868.736,4718760.54819121,1782461.13333333
-1376479.94644242,30044885.4833333,-20381,4492577.86516226,2082093.61666667
-1376479.94644236,16356253.8666667,-19718.224,4285136.12731849,1782461.13333333
-1376479.94644239,1009452.05,-20926.424,5187679.60030807,1782461.13333333
-1376479.94644244,17804586.4333333,-17610.888,7040810.39854084,1782461.13333333
-1376479.94644241,4440418.53333333,-19734.672,7296230.39312652,2082093.61666667
-1376479.94644236,20322275.7833333,-18193.128,7825806.10978613,2082093.61666667
-1376479.94644242,5829063.95,-14517.664,9696860.65426259,1782461.13333333
-1376479.94644242,23428313.5333333,-13591.944,9878551.93888961,1782461.13333333
-1376479.94644251,8706033.28333333,-15466.2,10258182.6007615,1782461.13333333
-1376479.94644235,25141887.6833333,-15371.672,11213165.2956165,2082093.61666667
-1376479.94644236,11452791.05,-16909.272,10810893.6739708,1782461.13333333
-1376479.94644243,27694007.5833333,-14561.52,11337676.7604163,1782421.48333333
-1376479.9464424,13525645.1833333,-18392.568,11560141.8936528,1782461.13333333
-1376479.94644248,30765614.7833333,-18785.44,11200556.0957398,2082093.61666667
-1376479.94644239,15718910.4666667,-13842.152,13175928.0430515,1782461.13333333
-1376479.94644255,1250955.23333333,-12729.312,13535960.6107193,1782421.48333333
-1376479.94644236,18525315.7333333,-14111.144,13946086.8824788,1782461.13333333
-1376479.94644232,3803035.48333333,-14139.504,14663470.2099406,1782461.13333333
-1376479.94644248,20538522.3666667,-10730.808,15477312.4454062,1782461.13333333
-1376479.94644233,6874682.33333333,-14288.072,15449486.0319934,1782421.48333333
-1376479.94644244,22791009.7833333,-12666.936,15879090.0907719,1782421.48333333
-1376479.94644237,8622647.38333333,-12603.392,16922672.4471087,1782461.13333333
-1376479.94644252,26162249.4666667,-11870.264,16481320.9924495,1782461.13333333
-1376479.94644244,11439969.2166667,-13817.48,16970049.8619938,1782461.13333333
-1376479.94644234,27610621.6833333,-12259.864,18472879.3455289,1782421.48333333
-1376479.9464425,14246374.4833333,-11530.256,18779210.4192124,1782461.13333333
-1376479.94644219,30128271.3833333,-12227.896,18033426.9715807,2082093.61666667
-1376479.94644249,15635524.5666667,-11962.336,19470664.1273938,1782461.13333333
-1376479.94644244,1971684.53333333,-10394.104,20947009.53434,1782421.48333333
-1376479.94644254,17888011.9833333,-10068.264,21345977.8031505,1782421.48333333
-1376479.94644262,3719689.23333333,-11049.256,21644610.8306997,2082093.61666667
-1376479.94644242,21259251.6666667,-10706.208,22036477.0404044,1782461.13333333
-1376479.94644248,6536971.41666667,-8930.304,22195725.5497015,1782461.13333333
-1376479.94644244,22707623.8833333,-9179.272,22389149.5359926,1782421.48333333
-1376479.94644256,9343416.33333333,-7866.816,23144003.7031265,2082093.61666667
-1376479.94644234,25225273.5833333,-8893.648,23730709.5496428,2082093.61666667
