,mean,sd
Mill.var_capitalMu,-93240809112.46797,160492772178.3417
Mill.var_capitalSigma,35709195432.575455,67234030287.06437
Mill.var_employeesMu,249.77342777777645,224.32241110115544
Mill.var_employeesSigma,116.70226315244638,133.2164529016774
Mill.var_goodwillMu,813694056.6849757,1582360621.9268262
Mill.var_goodwillSigma,356524629.4702321,738265928.5354952
Mill.var_total_value_destroyedMu,338268091.9118696,444025333.32444096
Mill.var_total_value_destroyedSigma,202954109.9569213,308137195.72492874
Mill.var_valueProducedMu,51512162.554357775,92164011.12787578
Mill.var_valueProducedSigma,24958126.127736084,49740201.58221806
