,mean,sd
OilField.var_capitalMu,-3003898.105554405,14856026.008363646
OilField.var_capitalSigma,423836.65918803046,3268188.0864573396
OilField.var_employeesMu,0.0196,0.128872195142687
OilField.var_employeesSigma,0.006533333333333333,0.05071001930166261
OilField.var_goodwillMu,232174.152,1763074.482024835
OilField.var_goodwillSigma,9993.354,77565.79197371636
OilField.var_total_value_destroyedMu,46.08456581768325,44.686345394144816
OilField.var_total_value_destroyedSigma,28.94717242504869,28.511990604825794
OilField.var_valueProducedMu,259081.65266666666,1959037.063315496
OilField.var_valueProducedSigma,13324.472000000003,103421.05596496152
