,mean,sd
Person.const_buyBeef,0.4592330415783826,0.2687607174130486
Person.const_buyBread,0.5073695444633014,0.28123153669414214
Person.const_buyFlour,0.5043148908008114,0.26137670985238354
Person.const_buyFuel,0.5623193616690602,0.2845993010441436
Person.const_buyLand,0.5456754248046051,0.2748695254448216
Person.const_buyMu,6.173347877264109,2.921749904415886
Person.const_buyOil,0.4883440978851992,0.29696035671971743
Person.const_buySigma,5.505712334079931,2.8282119067323186
Person.const_buyWheat,0.5686990140868312,0.3023842196058507
Person.const_consumeBeef,0.5064985257626081,0.3124054670696131
Person.const_consumeBread,0.4977895969736134,0.3206139196009342
Person.const_consumeFlour,0.4997741067157837,0.3136797962094112
Person.const_consumeFuel,0.4878316977480654,0.31613095177705874
Person.const_consumeMu,6.575590318783412,2.8404259115087434
Person.const_consumeOil,0.5240826295005231,0.2691484498730004
Person.const_consumeSigma,5.3323164729956725,2.8646377183333174
Person.const_consumeWheat,0.4664697340462311,0.27000835855773275
Person.const_enjoyBeefMu,467.6637379219494,289.31288415291334
Person.const_enjoyBeefSigma,495.84553536312313,300.573753650448
Person.const_enjoyBreadMu,443.1329337325256,266.8220467500804
Person.const_enjoyBreadSigma,512.1595047166072,321.87960964567844
Person.const_enjoyFlourMu,482.46306458900676,265.47117174960886
Person.const_enjoyFlourSigma,488.6303044363244,287.6255662011901
Person.const_enjoyFuelMu,538.5122931728214,304.2867456461306
Person.const_enjoyFuelSigma,465.97530812839284,279.807349061314
Person.const_enjoyOilMu,419.9334464658516,260.7920726156105
Person.const_enjoyOilSigma,445.5057353704526,270.2704789905443
Person.const_enjoyWheatMu,518.6408517389008,295.078178161609
Person.const_enjoyWheatSigma,497.23032769471143,291.14827903437117
Person.const_femaleBonusSalMu,429.93436325095035,264.1436117372409
Person.const_femaleBonusSalSigma,519.7437141097895,284.5875270465638
Person.const_femaleEduMu,5.347823786738661,3.067524160307249
Person.const_femaleEduSigma,5.691522855820694,3.02222801335217
Person.const_genderMu,0.4960816273577567,0.2890732659947379
Person.const_genderSigma,0.5131822493391547,0.26872205361215956
Person.const_maleBonusSalMu,536.6732685920197,281.72855592932365
Person.const_maleBonusSalSigma,463.20564734291804,302.8996741059219
Person.const_maleEduMu,5.110832691475282,2.9952302596153895
Person.const_maleEduSigma,5.421777446185015,2.8953005608743623
Person.const_number,147.08333333333334,28.358616431886492
