,Bakery.const_consumed,Bakery.const_itersMu,Bakery.const_itersSigma,Bakery.const_number,Bakery.const_produced,Bakery.const_salaryMu,Bakery.const_salarySigma,Bakery.const_time,Bakery.var_capitalMu,Bakery.var_employeesMu,Bakery.var_goodwillMu,Bakery.var_total_value_destroyedMu,Bakery.var_valueProducedMu
0,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2044961800.0,10.053695,21649390.0,-617072200.0,-14565000.0
1,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2569513000.0,18.469856,33320140.0,-1075471600.0,-15476536.0
2,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2716402700.0,23.755405,40531610.0,-1438446600.0,-20513772.0
3,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2595719200.0,24.5613,41172040.0,-1578722300.0,-24367124.0
4,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2298335500.0,19.818352,33258068.0,-1357401600.0,-27040292.0
5,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2009654000.0,7.966955,21937762.0,-840632000.0,-23695528.0
6,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-1888255200.0,-4.2214026,8229640.0,-339280320.0,-18450892.0
7,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-1507777200.0,-10.375772,4744494.0,131687200.0,-17606696.0
8,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-1505068700.0,-14.028063,8001330.0,355723260.0,-21513160.0
9,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-1824027400.0,-16.15855,13047194.0,561567040.0,-22296924.0
10,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2132536000.0,-17.73438,18147044.0,705258750.0,-21647920.0
11,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2386324500.0,-19.029503,23245032.0,802288100.0,-20849848.0
