,Bakery.var_capitalMu,Bakery.var_employeesMu,Bakery.var_goodwillMu,Bakery.var_total_value_destroyedMu,Bakery.var_valueProducedMu
Bakery.const_consumed,-0.9902410829980544,-0.49158424163342074,0.4344197836915427,0.7411499894655275,-0.7763904977934277
Bakery.const_itersMu,0.871154388538598,0.627627692880144,-0.6621422109057628,-0.8808531353175761,0.4134085122121858
Bakery.const_itersSigma,-0.1821616620546916,-0.6859070489801388,-0.5992193173601488,0.4745975440807536,0.06169591780025724
Bakery.const_number,0.2546179485861657,0.45863326463613896,-0.21517905641711574,-0.7424065473439911,-0.3748999805544579
Bakery.const_produced,-0.3862164828781998,-0.5928274253553477,0.45830631823231227,0.06366709296809935,0.2895670790390716
Bakery.const_salaryMu,-0.5627470309913033,-0.12656084886830146,0.4280367526888618,0.06477444015466108,0.5796492257467069
Bakery.const_salarySigma,-0.03097724948812883,0.2676879912771549,0.25281191646073725,0.3943302412664588,0.2878272559864363
Bakery.const_time,0.3271217027696016,0.032154042985743835,0.27351275409537434,-0.2642150791949781,-0.04669244219016264
Bakery.var_capitalMu,0.8861664422181952,0.26287905052878585,-0.7046030656016439,0.195845185226305,0.23372027162245154
Bakery.var_employeesMu,-0.2978313150901288,0.8528599613789729,0.44397471455878507,-0.3304816591391724,-0.022455407934082555
Bakery.var_goodwillMu,0.016993647432737534,0.03580900315897749,0.019291849126933273,-0.30146059264560404,0.26439022771448595
Bakery.var_total_value_destroyedMu,0.10261465681434928,0.02662933779641101,0.31076235684428727,0.7706395145963036,0.6543813236393757
Bakery.var_valueProducedMu,-0.04579561685274945,0.20069588672192956,0.5804803612864083,0.13274747153969818,0.7907612599820208
Person.var_capitalMu,-0.09710100163245616,-0.00440048941454682,0.04683844717706301,0.21949270927359968,-0.0562622466630419
Person.var_happinessMu,0.19843116514376097,-0.10863778399948675,0.11690528257565806,0.1381170856698661,0.26313669888848645
Person.var_salaryMu,-0.03593609751866958,-0.1408628251236336,0.08812575855444757,0.14780830688752242,0.02563564897012921
Person.var_total_value_destroyedMu,-0.19344808350383078,0.023604344562504997,0.11403264062467897,0.07030148681429335,-0.0962827266414174
Mill.var_capitalMu,-0.015036249363134222,0.1212470041952991,0.016483556147991216,-0.0015971226333625923,0.07629948412150274
Mill.var_employeesMu,0.05963005055795941,0.060931338105297626,0.07070413059487975,0.07294809799377569,0.03085099026966801
Mill.var_goodwillMu,0.05346519131904514,-0.051797279522262075,-0.06258674101987743,-0.03513459581015826,-0.01112281839993832
Mill.var_total_value_destroyedMu,-0.005621125108748159,0.027087908681129477,-0.05466712583341805,0.18878342571876328,-0.05229235673198123
Mill.var_valueProducedMu,0.026581945968217904,-0.05624923096922976,0.19289097889162699,-0.012528559641005398,0.0983978518220703
