,Mill.var_capitalMu,Mill.var_employeesMu,Mill.var_goodwillMu,Mill.var_total_value_destroyedMu,Mill.var_valueProducedMu
Mill.const_consumed,0.7960721763960842,0.7059456279291736,-0.9892152946868356,-0.9809338936633472,-0.8342493542372128
Mill.const_itersMu,0.9598093503125033,-0.9245100903093616,0.18206115995711722,0.06415920248329916,-0.7407399272830002
Mill.const_itersSigma,0.21695670838270978,0.22151616407534713,-0.05210052597734858,-0.11443468349572096,-0.030926567835379008
Mill.const_number,0.5779369903163425,-0.8857719765447803,-0.1265427217140107,-0.6314768320573965,0.01635732716468493
Mill.const_produced,0.06685143315346394,0.11719531142635836,-0.0733867138839084,0.3906699809179502,0.11347466474260393
Mill.const_salaryMu,0.5935219302854605,-0.3733684905269977,0.5086317386228242,0.19921315316909083,-0.31355254127434856
Mill.const_salarySigma,-0.3673528230032758,-0.150340608613006,0.037915563812952566,-0.3379506513029849,0.22396427817629724
Mill.const_time,0.24530115766386637,0.2170858276318798,0.8016636887950437,-0.20226236170660125,0.44442136320728776
Mill.var_capitalMu,0.8846764364053227,-0.42361172823766646,-0.1483135980939964,-0.215991616340331,-0.34281674767936476
Mill.var_employeesMu,-0.430696312284306,0.8555535793941264,0.38446655700734833,-0.44413799211752597,-0.40742505826979436
Mill.var_goodwillMu,0.0276312409673597,-0.00989669122844465,-0.206811037356843,-0.1422347860079253,0.07286977343423852
Mill.var_total_value_destroyedMu,-0.05996708958233627,-0.060701963795234966,-0.26531797670138646,0.8566248984129965,0.13849267028440188
Mill.var_valueProducedMu,-0.1975906929908502,0.16665811100689185,0.34343116920857925,0.21032704680520892,0.8478716902530199
Person.var_capitalMu,-0.3678227149463472,-0.06830502828983857,0.023192509734369544,0.08847048391883464,-0.025637537280962235
Person.var_happinessMu,0.04866412785364774,-0.044371415536563014,-0.31488931114266977,-0.06785645078894748,-0.02742440832724481
Person.var_salaryMu,0.01944570554225845,-0.029260457228799996,0.4305518358441983,-0.1451331518511785,0.20005269011467394
Person.var_total_value_destroyedMu,-0.0785500040133588,-0.027334781789639953,-0.12251867259898686,0.0836301527850288,0.10535218421527648
